"Datum";"Oberösterreich"
"2022-09-19";"2.2411091277475137"
"2022-09-11";"2.2397881085151248"
"2022-09-10";"2.2397881085151248"
"2022-09-09";"2.2397881085151248"
"2022-09-08";"2.2397881085151248"
"2022-09-07";"2.2397881085151248"
"2022-09-06";"2.2397881085151248"
"2022-09-05";"2.2371460700503474"
"2022-09-04";"2.2371460700503474"
"2022-09-03";"2.2358250508179585"
"2022-09-02";"2.2358250508179585"
"2022-09-01";"2.2358250508179585"
"2022-08-31";"2.2358250508179585"
"2022-08-30";"2.2358250508179585"
"2022-08-29";"2.2351645412017644"
"2022-08-28";"2.2351645412017644"
"2022-08-27";"2.233183012353181"
"2022-08-26";"2.233183012353181"
"2022-08-25";"2.232522502736987"
"2022-08-24";"2.2312014835045977"
"2022-08-23";"2.2312014835045977"
"2022-08-22";"2.229880464272209"
"2022-08-21";"2.229880464272209"
"2022-08-20";"2.229219954656015"
"2022-08-19";"2.2285594450398203"
"2022-08-18";"2.2285594450398203"
"2022-08-17";"2.2285594450398203"
"2022-08-16";"2.2285594450398203"
"2022-08-15";"2.227898935423626"
"2022-08-14";"2.227898935423626"
"2022-08-13";"2.227238425807432"
"2022-08-12";"2.227238425807432"
"2022-08-11";"2.2265779161912373"
"2022-08-10";"2.2252568969588484"
"2022-08-09";"2.2232753681102655"
"2022-08-08";"2.2219543488778766"
"2022-08-07";"2.219312310413099"
"2022-08-06";"2.219312310413099"
"2022-08-05";"2.2186518007969047"
"2022-08-04";"2.2179912911807107"
"2022-08-03";"2.2166702719483213"
"2022-08-02";"2.2173307815645162"
"2022-08-01";"2.2166702719483213"
"2022-07-31";"2.2166702719483213"
"2022-07-30";"2.214688743099739"
"2022-07-29";"2.2133677238673495"
"2022-07-28";"2.212046704634961"
"2022-07-27";"2.210065175786378"
"2022-07-26";"2.2094046661701836"
"2022-07-25";"2.2061021180892117"
"2022-07-24";"2.2061021180892117"
"2022-07-23";"2.2061021180892117"
"2022-07-22";"2.2054416084730173"
"2022-07-21";"2.2054416084730173"
"2022-07-20";"2.2041205892406284"
"2022-07-19";"2.20279957000824"
"2022-07-18";"2.201478550775851"
"2022-07-17";"2.199497021927268"
"2022-07-16";"2.1988365123110736"
"2022-07-15";"2.1988365123110736"
"2022-07-14";"2.1988365123110736"
"2022-07-13";"2.1988365123110736"
"2022-07-12";"2.1988365123110736"
"2022-07-11";"2.1988365123110736"
"2022-07-10";"2.196194473846296"
"2022-07-09";"2.1948734546139073"
"2022-07-08";"2.194212944997713"
"2022-07-07";"2.193552435381519"
"2022-07-06";"2.193552435381519"
"2022-07-05";"2.193552435381519"
"2022-07-04";"2.19223141614913"
"2022-07-03";"2.190910396916741"
"2022-07-02";"2.190249887300547"
"2022-07-01";"2.190249887300547"
"2022-06-30";"2.1895893776843525"
"2022-06-29";"2.1895893776843525"
"2022-06-28";"2.1895893776843525"
"2022-06-27";"2.1895893776843525"
"2022-06-26";"2.188928868068158"
"2022-06-25";"2.188928868068158"
"2022-06-24";"2.188928868068158"
"2022-06-23";"2.1882683584519635"
"2022-06-22";"2.1882683584519635"
"2022-06-21";"2.1882683584519635"
"2022-06-20";"2.188928868068158"
"2022-06-19";"2.1882683584519635"
"2022-06-18";"2.1882683584519635"
"2022-06-17";"2.187607848835769"
"2022-06-16";"2.18628682960338"
"2022-06-15";"2.1849658103709917"
"2022-06-14";"2.1849658103709917"
"2022-06-13";"2.1849658103709917"
"2022-06-12";"2.1849658103709917"
"2022-06-11";"2.1849658103709917"
"2022-06-10";"2.1849658103709917"
"2022-06-09";"2.1849658103709917"
"2022-06-08";"2.1849658103709917"
"2022-06-07";"2.1849658103709917"
"2022-06-06";"2.1849658103709917"
"2022-06-05";"2.1849658103709917"
"2022-06-04";"2.1849658103709917"
"2022-06-03";"2.1849658103709917"
"2022-06-02";"2.1849658103709917"
"2022-06-01";"2.1849658103709917"
"2022-05-31";"2.1849658103709917"
"2022-05-30";"2.1849658103709917"
"2022-05-29";"2.1843053007547977"
"2022-05-28";"2.1843053007547977"
"2022-05-27";"2.1843053007547977"
"2022-05-26";"2.1843053007547977"
"2022-05-25";"2.1829842815224083"
"2022-05-24";"2.1829842815224083"
"2022-05-23";"2.1823237719062143"
"2022-05-22";"2.18166326229002"
"2022-05-21";"2.18166326229002"
"2022-05-20";"2.18166326229002"
"2022-05-19";"2.18166326229002"
"2022-05-18";"2.181002752673826"
"2022-05-17";"2.1796817334414365"
"2022-05-16";"2.1796817334414365"
"2022-05-15";"2.1790212238252424"
"2022-05-14";"2.178360714209048"
"2022-05-13";"2.178360714209048"
"2022-05-12";"2.178360714209048"
"2022-05-11";"2.177039694976659"
"2022-05-10";"2.177700204592854"
"2022-05-09";"2.177039694976659"
"2022-05-08";"2.177039694976659"
"2022-05-07";"2.1757186757442706"
"2022-05-06";"2.1757186757442706"
"2022-05-05";"2.1757186757442706"
"2022-05-04";"2.175058166128076"
"2022-05-03";"2.173737146895687"
"2022-05-02";"2.17109510843091"
"2022-05-01";"2.1704345988147153"
"2022-04-30";"2.1697740891985213"
"2022-04-29";"2.1697740891985213"
"2022-04-28";"2.168453069966132"
"2022-04-27";"2.167792560349938"
"2022-04-26";"2.165811031501355"
"2022-04-25";"2.165811031501355"
"2022-04-24";"2.1631689930365776"
"2022-04-23";"2.1618479738041887"
"2022-04-22";"2.1598664449556058"
"2022-04-21";"2.1578849161070224"
"2022-04-20";"2.153921858409856"
"2022-04-19";"2.152600839177467"
"2022-04-18";"1.8335746945555844"
"2022-04-17";"1.8289511272422239"
"2022-04-16";"1.8282906176260294"
"2022-04-15";"1.827630108009835"
"2022-04-14";"1.8263090887774462"
"2022-04-13";"1.825648579161252"
"2022-04-12";"1.8249880695450575"
"2022-04-11";"1.8177224637669194"
"2022-04-10";"1.8130988964535586"
"2022-04-09";"1.8111173676049757"
"2022-04-08";"1.809796348372587"
"2022-04-07";"1.8078148195240038"
"2022-04-06";"1.8031912522106432"
"2022-04-05";"1.8005492137458656"
"2022-04-04";"1.797907175281088"
"2022-04-03";"1.7926230983515332"
"2022-04-02";"1.7879995310381727"
"2022-04-01";"1.7860180021895893"
"2022-03-31";"1.7840364733410063"
"2022-03-30";"1.7774313771790626"
"2022-03-29";"1.7708262810171187"
"2022-03-28";"1.7688447521685358"
"2022-03-27";"1.7648816944713694"
"2022-03-26";"1.7602581271580087"
"2022-03-25";"1.7437453867531494"
"2022-03-24";"1.7430848771369551"
"2022-03-23";"1.7424243675207607"
"2022-03-22";"1.7384613098235944"
"2022-03-21";"1.7193065309539575"
"2022-03-20";"1.71666449248918"
"2022-03-19";"1.7087383770948474"
"2022-03-18";"1.7087383770948474"
"2022-03-17";"1.7074173578624587"
"2022-03-16";"1.7014727713167095"
"2022-03-15";"1.6994912424681263"
"2022-03-14";"1.69552818477096"
"2022-03-13";"1.6882625789928218"
"2022-03-12";"1.6882625789928218"
"2022-03-11";"1.6876020693766276"
"2022-03-10";"1.6862810501442387"
"2022-03-09";"1.6856205405280444"
"2022-03-08";"1.676373405901323"
"2022-03-07";"1.6750523866689344"
"2022-03-06";"1.6730708578203513"
"2022-03-05";"1.6677867808907962"
"2022-03-04";"1.6611816847288525"
"2022-03-03";"1.6592001558802694"
"2022-03-02";"1.6558976077992975"
"2022-03-01";"1.6545765885669088"
"2022-02-28";"1.6499530212535483"
"2022-02-27";"1.6453294539401875"
"2022-02-26";"1.6433479250916045"
"2022-02-25";"1.64268741547541"
"2022-02-24";"1.6413663962430212"
"2022-02-23";"1.637403338545855"
"2022-02-22";"1.635421809697272"
"2022-02-21";"1.634100790464883"
"2022-02-20";"1.6314587520001058"
"2022-02-19";"1.6175880500600237"
"2022-02-18";"1.6162670308276352"
"2022-02-17";"1.6142855019790519"
"2022-02-16";"1.612303973130469"
"2022-02-15";"1.61098295389808"
"2022-02-14";"1.609001425049497"
"2022-02-13";"1.6056988769685252"
"2022-02-12";"1.6030568385037476"
"2022-02-11";"1.6017358192713589"
"2022-02-10";"1.5990937808065813"
"2022-02-09";"1.5957912327256094"
"2022-02-08";"1.5944702134932207"
"2022-02-07";"1.5898466461798602"
"2022-02-06";"1.5885256269474712"
"2022-02-05";"1.5885256269474712"
"2022-02-04";"1.587865117331277"
"2022-02-03";"1.587865117331277"
"2022-02-02";"1.582581040401722"
"2022-02-01";"1.5805995115531388"
"2022-01-31";"1.5799390019369444"
"2022-01-30";"1.5779574730883612"
"2022-01-29";"1.5779574730883612"
"2022-01-28";"1.577296963472167"
"2022-01-27";"1.5766364538559725"
"2022-01-26";"1.5753154346235838"
"2022-01-25";"1.5753154346235838"
"2022-01-24";"1.5733339057750007"
"2022-01-23";"1.570691867310223"
"2022-01-22";"1.570691867310223"
"2022-01-21";"1.5700313576940288"
"2022-01-20";"1.5693708480778343"
"2022-01-19";"1.56871033846164"
"2022-01-18";"1.5673893192292514"
"2022-01-17";"1.566728809613057"
"2022-01-16";"1.566728809613057"
"2022-01-15";"1.566728809613057"
"2022-01-14";"1.566728809613057"
"2022-01-13";"1.5660682999968625"
"2022-01-12";"1.5654077903806682"
"2022-01-11";"1.5647472807644738"
"2022-01-10";"1.5640867711482795"
"2022-01-09";"1.563426261532085"
"2022-01-08";"1.5627657519158906"
"2022-01-07";"1.5627657519158906"
"2022-01-06";"1.5588026942187243"
"2022-01-05";"1.5588026942187243"
"2022-01-04";"1.5574816749863358"
"2022-01-03";"1.5568211653701414"
"2022-01-02";"1.5548396365215582"
"2022-01-01";"1.5535186172891695"
"2021-12-31";"1.567609142787065"
"2021-12-30";"1.5656096413294285"
"2021-12-29";"1.5649431408435497"
"2021-12-28";"1.5609441379282765"
"2021-12-27";"1.5609441379282765"
"2021-12-26";"1.5596111369565189"
"2021-12-25";"1.5562786345271244"
"2021-12-24";"1.5556121340412459"
"2021-12-23";"1.5549456335553669"
"2021-12-22";"1.5536126325836093"
"2021-12-21";"1.5482806286965782"
"2021-12-20";"1.5462811272389416"
"2021-12-19";"1.5456146267530628"
"2021-12-18";"1.5429486248095476"
"2021-12-17";"1.5382831214083956"
"2021-12-16";"1.536283619950759"
"2021-12-15";"1.5282856141202126"
"2021-12-14";"1.5242866112049396"
"2021-12-13";"1.5182881068320297"
"2021-12-12";"1.5076240990579681"
"2021-12-11";"1.5076240990579681"
"2021-12-10";"1.5056245976003317"
"2021-12-09";"1.4969600912839065"
"2021-12-08";"1.4789645781651775"
"2021-12-07";"1.4776315771934199"
"2021-12-06";"1.466967569419358"
"2021-12-05";"1.453637559701781"
"2021-12-04";"1.4476390553288714"
"2021-12-03";"1.4196460349219595"
"2021-12-02";"1.384988009656259"
"2021-12-01";"1.362326993136378"
"2021-11-30";"1.339665976616497"
"2021-11-29";"1.3369999746729817"
"2021-11-28";"1.321670463497768"
"2021-11-27";"1.3183379610683736"
"2021-11-26";"1.3090069542660698"
"2021-11-25";"1.3016754489214022"
"2021-11-24";"1.293677443090856"
"2021-11-23";"1.2870124382320676"
"2021-11-22";"1.280347433373279"
"2021-11-21";"1.2730159280286115"
"2021-11-20";"1.266350923169823"
"2021-11-19";"1.2643514217121863"
"2021-11-18";"1.2583529173392767"
"2021-11-17";"1.2543539144240037"
"2021-11-16";"1.2496884110228517"
"2021-11-15";"1.2443564071358209"
"2021-11-14";"1.2376914022770322"
"2021-11-13";"1.2303598969323648"
"2021-11-12";"1.220362389644182"
"2021-11-11";"1.2130308842995146"
"2021-11-10";"1.2050328784689683"
"2021-11-09";"1.2017003760395741"
"2021-11-08";"1.1970348726384221"
"2021-11-07";"1.1930358697231491"
"2021-11-06";"1.1903698677796337"
"2021-11-05";"1.187703865836118"
"2021-11-04";"1.1863708648643605"
"2021-11-03";"1.184371363406724"
"2021-11-02";"1.1810388609773297"
"2021-11-01";"1.178372859033814"
"2021-10-31";"1.1777063585479355"
"2021-10-30";"1.1757068570902989"
"2021-10-29";"1.174373856118541"
"2021-10-28";"1.1730408551467835"
"2021-10-27";"1.1730408551467835"
"2021-10-26";"1.1717078541750257"
"2021-10-25";"1.169708352717389"
"2021-10-24";"1.1663758502879948"
"2021-10-23";"1.1630433478586006"
"2021-10-22";"1.1630433478586006"
"2021-10-21";"1.1623768473727218"
"2021-10-20";"1.1603773459150852"
"2021-10-19";"1.1583778444574486"
"2021-10-18";"1.1563783429998122"
"2021-10-17";"1.1550453420280542"
"2021-10-16";"1.1543788415421756"
"2021-10-15";"1.152379340084539"
"2021-10-14";"1.1510463391127812"
"2021-10-13";"1.1497133381410236"
"2021-10-12";"1.1483803371692658"
"2021-10-11";"1.1483803371692658"
"2021-10-10";"1.147713836683387"
"2021-10-09";"1.1450478347398716"
"2021-10-08";"1.1450478347398716"
"2021-10-07";"1.143714833768114"
"2021-10-06";"1.1403823313387196"
"2021-10-05";"1.138382829881083"
"2021-10-04";"1.1357168279375676"
"2021-10-03";"1.1350503274516888"
"2021-10-02";"1.1323843255081734"
"2021-10-01";"1.1317178250222943"
"2021-09-30";"1.129718323564658"
"2021-09-29";"1.129718323564658"
"2021-09-28";"1.129718323564658"
"2021-09-27";"1.1257193206493847"
"2021-09-26";"1.125052820163506"
"2021-09-25";"1.125052820163506"
"2021-09-24";"1.125052820163506"
"2021-09-23";"1.125052820163506"
"2021-09-22";"1.125052820163506"
"2021-09-21";"1.1230533187058693"
"2021-09-20";"1.1210538172482327"
"2021-09-19";"1.120387316762354"
"2021-09-18";"1.1177213148188385"
"2021-09-17";"1.1177213148188385"
"2021-09-16";"1.1177213148188385"
"2021-09-15";"1.1157218133612021"
"2021-09-14";"1.1150553128753231"
"2021-09-13";"1.114388812389444"
"2021-09-12";"1.114388812389444"
"2021-09-11";"1.1123893109318077"
"2021-09-10";"1.1123893109318077"
"2021-09-09";"1.1110563099600501"
"2021-09-08";"1.1110563099600501"
"2021-09-07";"1.109723308988292"
"2021-09-06";"1.109723308988292"
"2021-09-05";"1.1083903080165345"
"2021-09-04";"1.1077238075306557"
"2021-09-03";"1.106390806558898"
"2021-09-02";"1.105724306073019"
"2021-09-01";"1.105724306073019"
"2021-08-31";"1.1050578055871403"
"2021-08-30";"1.1050578055871403"
"2021-08-29";"1.1050578055871403"
"2021-08-28";"1.1043913051012615"
"2021-08-27";"1.1043913051012615"
"2021-08-26";"1.1037248046153825"
"2021-08-25";"1.1043913051012615"
"2021-08-24";"1.1037248046153825"
"2021-08-23";"1.1037248046153825"
"2021-08-22";"1.1030583041295037"
"2021-08-21";"1.1030583041295037"
"2021-08-20";"1.1030583041295037"
"2021-08-19";"1.1030583041295037"
"2021-08-18";"1.1030583041295037"
"2021-08-17";"1.1030583041295037"
"2021-08-16";"1.1023918036436249"
"2021-08-15";"1.1023918036436249"
"2021-08-14";"1.1023918036436249"
"2021-08-13";"1.1023918036436249"
"2021-08-12";"1.1023918036436249"
"2021-08-11";"1.101725303157746"
"2021-08-10";"1.101725303157746"
"2021-08-09";"1.101725303157746"
"2021-08-08";"1.101725303157746"
"2021-08-07";"1.101725303157746"
"2021-08-06";"1.101725303157746"
"2021-08-05";"1.101725303157746"
"2021-08-04";"1.101725303157746"
"2021-08-03";"1.101058802671867"
"2021-08-02";"1.101058802671867"
"2021-08-01";"1.101058802671867"
"2021-07-31";"1.101058802671867"
"2021-07-30";"1.101058802671867"
"2021-07-29";"1.101058802671867"
"2021-07-28";"1.101058802671867"
"2021-07-27";"1.101058802671867"
"2021-07-26";"1.101058802671867"
"2021-07-25";"1.101058802671867"
"2021-07-24";"1.101058802671867"
"2021-07-23";"1.101058802671867"
"2021-07-22";"1.101058802671867"
"2021-07-21";"1.1003923021859883"
"2021-07-20";"1.1003923021859883"
"2021-07-19";"1.1003923021859883"
"2021-07-18";"1.1003923021859883"
"2021-07-17";"1.1003923021859883"
"2021-07-16";"1.1003923021859883"
"2021-07-15";"1.1003923021859883"
"2021-07-14";"1.0997258017001095"
"2021-07-13";"1.0997258017001095"
"2021-07-12";"1.0997258017001095"
"2021-07-11";"1.0990593012142305"
"2021-07-10";"1.0990593012142305"
"2021-07-09";"1.0990593012142305"
"2021-07-08";"1.0990593012142305"
"2021-07-07";"1.0983928007283519"
"2021-07-06";"1.0983928007283519"
"2021-07-05";"1.0983928007283519"
"2021-07-04";"1.0983928007283519"
"2021-07-03";"1.0977263002424729"
"2021-07-02";"1.0977263002424729"
"2021-07-01";"1.097059799756594"
"2021-06-30";"1.0950602982989575"
"2021-06-29";"1.0950602982989575"
"2021-06-28";"1.0950602982989575"
"2021-06-27";"1.0950602982989575"
"2021-06-26";"1.0910612953836842"
"2021-06-25";"1.0910612953836842"
"2021-06-24";"1.0897282944119266"
"2021-06-23";"1.0710662808073186"
"2021-06-22";"1.07039978032144"
"2021-06-21";"1.07039978032144"
"2021-06-20";"1.07039978032144"
"2021-06-19";"1.069733279835561"
"2021-06-18";"1.069733279835561"
"2021-06-17";"1.069733279835561"
"2021-06-16";"1.069066779349682"
"2021-06-15";"1.069066779349682"
"2021-06-14";"1.0677337783779244"
"2021-06-13";"1.0664007774061668"
"2021-06-12";"1.0664007774061668"
