"Datum";"Tirol"
"2022-09-19";"1.8236218954465464"
"2022-09-11";"1.8262270695828986"
"2022-09-10";"1.8262270695828986"
"2022-09-09";"1.8262270695828986"
"2022-09-08";"1.8262270695828986"
"2022-09-07";"1.8262270695828986"
"2022-09-06";"1.8262270695828986"
"2022-09-05";"1.8249244825147226"
"2022-09-04";"1.8236218954465464"
"2022-09-03";"1.8236218954465464"
"2022-09-02";"1.8236218954465464"
"2022-09-01";"1.8236218954465464"
"2022-08-31";"1.8236218954465464"
"2022-08-30";"1.8210167213101942"
"2022-08-29";"1.8210167213101942"
"2022-08-28";"1.8171089601056658"
"2022-08-27";"1.8158063730374896"
"2022-08-26";"1.8158063730374896"
"2022-08-25";"1.8158063730374896"
"2022-08-24";"1.8145037859693136"
"2022-08-23";"1.8132011989011374"
"2022-08-22";"1.8079908506284332"
"2022-08-21";"1.8079908506284332"
"2022-08-20";"1.806688263560257"
"2022-08-19";"1.806688263560257"
"2022-08-18";"1.805385676492081"
"2022-08-17";"1.805385676492081"
"2022-08-16";"1.8014779152875526"
"2022-08-15";"1.8001753282193766"
"2022-08-14";"1.8001753282193766"
"2022-08-13";"1.8001753282193766"
"2022-08-12";"1.8001753282193766"
"2022-08-11";"1.8001753282193766"
"2022-08-10";"1.7975701540830242"
"2022-08-09";"1.7936623928784958"
"2022-08-08";"1.7936623928784958"
"2022-08-07";"1.7936623928784958"
"2022-08-06";"1.7936623928784958"
"2022-08-05";"1.7936623928784958"
"2022-08-04";"1.7936623928784958"
"2022-08-03";"1.7923598058103198"
"2022-08-02";"1.7910572187421436"
"2022-08-01";"1.7910572187421436"
"2022-07-31";"1.7897546316739676"
"2022-07-30";"1.7897546316739676"
"2022-07-29";"1.7884520446057917"
"2022-07-28";"1.7884520446057917"
"2022-07-27";"1.7884520446057917"
"2022-07-26";"1.7884520446057917"
"2022-07-25";"1.7871494575376154"
"2022-07-24";"1.7858468704694395"
"2022-07-23";"1.7845442834012633"
"2022-07-22";"1.7845442834012633"
"2022-07-21";"1.7832416963330873"
"2022-07-20";"1.7832416963330873"
"2022-07-19";"1.7832416963330873"
"2022-07-18";"1.7767287609922064"
"2022-07-17";"1.7767287609922064"
"2022-07-16";"1.7767287609922064"
"2022-07-15";"1.7767287609922064"
"2022-07-14";"1.7767287609922064"
"2022-07-13";"1.7754261739240305"
"2022-07-12";"1.7754261739240305"
"2022-07-11";"1.7741235868558543"
"2022-07-10";"1.7728209997876783"
"2022-07-09";"1.770215825651326"
"2022-07-08";"1.76891323858315"
"2022-07-07";"1.76891323858315"
"2022-07-06";"1.76891323858315"
"2022-07-05";"1.7676106515149739"
"2022-07-04";"1.7663080644467979"
"2022-07-03";"1.7637028903104457"
"2022-07-02";"1.7637028903104457"
"2022-07-01";"1.7637028903104457"
"2022-06-30";"1.7597951291059173"
"2022-06-29";"1.7584925420377413"
"2022-06-28";"1.7558873679013889"
"2022-06-27";"1.7532821937650367"
"2022-06-26";"1.7506770196286845"
"2022-06-25";"1.7493744325605085"
"2022-06-24";"1.7493744325605085"
"2022-06-23";"1.7493744325605085"
"2022-06-22";"1.7480718454923323"
"2022-06-21";"1.7480718454923323"
"2022-06-20";"1.7480718454923323"
"2022-06-19";"1.74546667135598"
"2022-06-18";"1.74546667135598"
"2022-06-17";"1.74546667135598"
"2022-06-16";"1.74546667135598"
"2022-06-15";"1.74546667135598"
"2022-06-14";"1.74546667135598"
"2022-06-13";"1.74546667135598"
"2022-06-12";"1.74546667135598"
"2022-06-11";"1.74546667135598"
"2022-06-10";"1.74546667135598"
"2022-06-09";"1.74546667135598"
"2022-06-08";"1.74546667135598"
"2022-06-07";"1.74546667135598"
"2022-06-06";"1.74546667135598"
"2022-06-05";"1.74546667135598"
"2022-06-04";"1.742861497219628"
"2022-06-03";"1.742861497219628"
"2022-06-02";"1.742861497219628"
"2022-06-01";"1.742861497219628"
"2022-05-31";"1.742861497219628"
"2022-05-30";"1.742861497219628"
"2022-05-29";"1.742861497219628"
"2022-05-28";"1.742861497219628"
"2022-05-27";"1.742861497219628"
"2022-05-26";"1.742861497219628"
"2022-05-25";"1.742861497219628"
"2022-05-24";"1.741558910151452"
"2022-05-23";"1.7402563230832757"
"2022-05-22";"1.7389537360150997"
"2022-05-21";"1.7389537360150997"
"2022-05-20";"1.7389537360150997"
"2022-05-19";"1.7376511489469235"
"2022-05-18";"1.7363485618787473"
"2022-05-17";"1.7363485618787473"
"2022-05-16";"1.7363485618787473"
"2022-05-15";"1.7363485618787473"
"2022-05-14";"1.735045974810571"
"2022-05-13";"1.735045974810571"
"2022-05-12";"1.7337433877423951"
"2022-05-11";"1.7337433877423951"
"2022-05-10";"1.7337433877423951"
"2022-05-09";"1.7337433877423951"
"2022-05-08";"1.7337433877423951"
"2022-05-07";"1.732440800674219"
"2022-05-06";"1.732440800674219"
"2022-05-05";"1.731138213606043"
"2022-05-04";"1.729835626537867"
"2022-05-03";"1.729835626537867"
"2022-05-02";"1.729835626537867"
"2022-05-01";"1.729835626537867"
"2022-04-30";"1.729835626537867"
"2022-04-29";"1.729835626537867"
"2022-04-28";"1.7285330394696907"
"2022-04-27";"1.7285330394696907"
"2022-04-26";"1.7272304524015147"
"2022-04-25";"1.7272304524015147"
"2022-04-24";"1.7259278653333385"
"2022-04-23";"1.7259278653333385"
"2022-04-22";"1.7259278653333385"
"2022-04-21";"1.7246252782651625"
"2022-04-20";"1.7233226911969863"
"2022-04-19";"1.7220201041288103"
"2022-04-18";"1.3299413966078026"
"2022-04-17";"1.3299413966078026"
