"Bundesland";"sum_deaths_per_1000_people"
"Wien";"2.1647090086337957"
"Burgenland";"2.0740339961224583"
"Niederösterreich";"2.373309602188244"
"Oberösterreich";"2.2411091277475137"
"Salzburg";"2.1079586047860563"
"Steiermark";"2.7472876590472257"
"Tirol";"1.8236218954465464"
"Vorarlberg";"1.6359989060340143"
"Kärnten";"2.9395754907158995"
