"Datum";"Vorarlberg"
"2022-07-14";"2.9230993035477244"
"2022-07-13";"2.9303862367551554"
"2022-07-12";"2.9325245290603132"
"2022-07-11";"2.940247035708888"
"2022-07-10";"2.944892380492959"
"2022-07-09";"2.948848293026273"
"2022-07-08";"2.953440689289746"
"2022-07-07";"2.9600007388457383"
"2022-07-06";"2.966068363017153"
"2022-07-05";"2.9745745801487753"
"2022-07-04";"2.979182959073474"
"2022-07-03";"2.976079585677559"
"2022-07-02";"2.9808136361728033"
"2022-07-01";"2.9849072997099175"
"2022-06-30";"2.9911249251048533"
"2022-06-29";"2.9963565429829453"
"2022-06-28";"3.001578294690166"
"2022-06-27";"3.0093246679853065"
"2022-06-26";"3.0172108506268147"
"2022-06-25";"3.0162632375189107"
"2022-06-24";"3.0171048089245773"
"2022-06-23";"3.0219923360758623"
"2022-06-22";"3.026608538072174"
"2022-06-21";"3.0317286080183994"
"2022-06-20";"3.0376757495393494"
"2022-06-19";"3.0460439623398203"
"2022-06-18";"3.049217622374949"
"2022-06-17";"3.0516824910912876"
"2022-06-16";"3.0570049975802704"
"2022-06-15";"3.0583971697841865"
"2022-06-14";"3.063243004474831"
"2022-06-13";"3.0669390698233383"
"2022-06-12";"3.073217726396917"
"2022-06-11";"3.0754250401299585"
"2022-06-10";"3.0766559932101383"
"2022-06-09";"3.079715391818963"
"2022-06-08";"3.0831384222836484"
"2022-06-07";"3.085240653606782"
"2022-06-06";"3.0909504914998864"
"2022-06-05";"3.0919391498621227"
"2022-06-04";"3.0938883581539476"
"2022-06-03";"3.0945036183380865"
"2022-06-02";"3.096320813779113"
"2022-06-01";"3.0973580215747005"
"2022-05-31";"3.099494753206374"
"2022-05-30";"3.0963514577642104"
"2022-05-29";"3.0982038199831714"
"2022-05-28";"3.099093138208851"
"2022-05-27";"3.0993796375136844"
"2022-05-26";"3.101280921523474"
"2022-05-25";"3.101567825494206"
"2022-05-24";"3.103108954685841"
"2022-05-23";"3.1045154372883004"
"2022-05-22";"3.106029207401809"
"2022-05-21";"3.106801798726065"
"2022-05-20";"3.1071503480301055"
"2022-05-19";"3.10872737388181"
"2022-05-18";"3.109182582720364"
"2022-05-17";"3.111369442151485"
"2022-05-16";"3.112676951042527"
"2022-05-15";"3.1153105040249613"
"2022-05-14";"3.116453603001972"
"2022-05-13";"3.118421696773878"
"2022-05-12";"3.1204992798847817"
"2022-05-11";"3.122916421539789"
"2022-05-10";"3.126042832184991"
"2022-05-09";"3.1286529601870314"
"2022-05-08";"3.117332664631058"
"2022-05-07";"3.1191577290170227"
"2022-05-06";"3.120892752538802"
"2022-05-05";"3.1175815841057517"
"2022-05-04";"3.1203478226577674"
"2022-05-03";"3.123288482318635"
"2022-05-02";"3.12728494358042"
"2022-05-01";"3.1307650838085537"
"2022-04-30";"3.1335858023316256"
"2022-04-29";"3.135262039554822"
"2022-04-28";"3.1377953146222253"
"2022-04-27";"3.136134020106986"
"2022-04-26";"3.1343290995882156"
"2022-04-25";"3.1329722955735577"
"2022-04-24";"3.133422005688979"
"2022-04-23";"3.1359058729683915"
"2022-04-22";"3.137830058316746"
"2022-04-21";"3.1368788055884393"
"2022-04-20";"3.1405181855006075"
"2022-04-19";"3.1390246960010026"
"2022-04-18";"2.666372076908013"
"2022-04-17";"2.6702202554561"
"2022-04-16";"2.6743893225887687"
"2022-04-15";"2.678584940400224"
"2022-04-14";"2.682712419291279"
"2022-04-13";"2.688144825700892"
"2022-04-12";"2.679128674287976"
"2022-04-11";"2.687050249875317"
"2022-04-10";"2.692709794221894"
"2022-04-09";"2.6874441180227358"
"2022-04-08";"2.693402699547345"
"2022-04-07";"2.697079448254604"
"2022-04-06";"2.6926925894211227"
"2022-04-05";"2.703738617881968"
"2022-04-04";"2.71046416048445"
"2022-04-03";"2.7361781231071287"
"2022-04-02";"2.733055839158093"
"2022-04-01";"2.74282111236634"
"2022-03-31";"2.7563046508680777"
"2022-03-30";"2.7615377684018596"
"2022-03-29";"2.7787277701778383"
"2022-03-28";"2.796215680358605"
"2022-03-27";"2.797961175577486"
"2022-03-26";"2.811514131127711"
"2022-03-25";"2.8309495202198924"
"2022-03-24";"2.852000553786515"
"2022-03-23";"2.8580200396326996"
"2022-03-22";"2.8897321201359474"
"2022-03-21";"2.9201184110884184"
"2022-03-20";"2.928198259316599"
"2022-03-19";"2.9513006177276737"
"2022-03-18";"2.9798608611502853"
"2022-03-17";"3.0190168168204075"
"2022-03-16";"3.0529274854154704"
"2022-03-15";"3.096888364548002"
"2022-03-14";"3.143494591064476"
"2022-03-13";"3.171602737727483"
"2022-03-12";"3.205087114267766"
"2022-03-11";"3.2407767493712893"
"2022-03-10";"3.2933520395729183"
"2022-03-09";"3.3391327623126337"
"2022-03-08";"3.3982103212977215"
"2022-03-07";"3.4374481270403363"
"2022-03-06";"3.4757990483598573"
"2022-03-05";"3.480278422273782"
"2022-03-04";"3.51493848857645"
"2022-03-03";"3.558332790904554"
"2022-03-02";"3.596701561494824"
"2022-03-01";"3.6452004860267313"
"2022-02-28";"3.6724945926459984"
"2022-02-27";"3.6832412523020257"
"2022-02-26";"3.71068846250754"
"2022-02-25";"3.7427801309202926"
"2022-02-24";"3.7740841037133874"
"2022-02-23";"3.7862720145795037"
"2022-02-22";"3.8430565854203045"
"2022-02-21";"3.8823510420197915"
"2022-02-20";"3.898953481732832"
"2022-02-19";"3.927574537460168"
"2022-02-18";"3.9561095767709187"
"2022-02-17";"4.00295396183347"
"2022-02-16";"4.037970495669361"
"2022-02-15";"4.057404119165873"
"2022-02-14";"4.092236046430806"
"2022-02-13";"4.09807232306177"
"2022-02-12";"4.1393890403901334"
"2022-02-11";"4.194004194004194"
"2022-02-10";"4.264002122850843"
"2022-02-09";"4.319254048142072"
"2022-02-08";"4.419773973709473"
"2022-02-07";"4.476032351713223"
"2022-02-06";"4.560428146052411"
"2022-02-05";"4.607327749905055"
"2022-02-04";"4.654833943858655"
"2022-02-03";"4.741441646178956"
"2022-02-02";"4.816844230829906"
"2022-02-01";"4.877109670795098"
"2022-01-31";"4.946170812132859"
"2022-01-30";"4.991773024414106"
"2022-01-29";"5.0489113284947935"
"2022-01-28";"5.103035446028233"
"2022-01-27";"5.174613952726038"
"2022-01-26";"5.247043285105361"
"2022-01-25";"5.337119913822651"
"2022-01-24";"5.466262129836263"
"2022-01-23";"5.573024516195004"
"2022-01-22";"5.627767093051773"
"2022-01-21";"5.706656893798591"
"2022-01-20";"5.807293747835584"
"2022-01-19";"5.882671138398291"
"2022-01-18";"5.999420745583184"
"2022-01-17";"6.091498508633124"
"2022-01-16";"6.148615144860806"
"2022-01-15";"6.211891334840981"
"2022-01-14";"6.26488632262721"
"2022-01-13";"6.334101987798826"
"2022-01-12";"6.405714960443972"
"2022-01-11";"6.444795046587086"
"2022-01-10";"6.482884883773279"
"2022-01-09";"6.525754776973624"
"2022-01-08";"6.554578296724236"
"2022-01-07";"6.603396910224515"
"2022-01-06";"6.634573844349812"
"2022-01-05";"6.663464071531512"
"2022-01-04";"6.681826677465579"
"2022-01-03";"6.673768642687054"
"2022-01-02";"6.704543666094839"
"2022-01-01";"6.723590965766505"
"2021-12-31";"6.739439962031324"
"2021-12-30";"6.753329105897273"
"2021-12-29";"6.773516504483877"
"2021-12-28";"6.772584577629755"
"2021-12-27";"6.742506550776507"
"2021-12-26";"6.7600038445519495"
"2021-12-25";"6.772806060216987"
"2021-12-24";"6.784784076658413"
"2021-12-23";"6.780589154278536"
"2021-12-22";"6.794596601087781"
"2021-12-21";"6.812738688588258"
"2021-12-20";"6.8172964550058435"
"2021-12-19";"6.790646169880145"
"2021-12-18";"6.80760754224145"
"2021-12-17";"6.824318795515915"
"2021-12-16";"6.800374513378998"
"2021-12-15";"6.75775906116596"
"2021-12-14";"6.784372776463191"
"2021-12-13";"6.687516635613521"
"2021-12-12";"6.649847120348866"
"2021-12-11";"6.686827956989248"
"2021-12-10";"6.713107426585929"
"2021-12-09";"6.741153297561638"
"2021-12-08";"6.684856753069577"
"2021-12-07";"6.720844906216781"
"2021-12-06";"6.7010666297271095"
"2021-12-05";"6.672489082969433"
"2021-12-04";"6.715302803902611"
"2021-12-03";"6.738830521065479"
"2021-12-02";"6.787411138498911"
"2021-12-01";"6.8187967890322"
"2021-11-30";"6.844814368634323"
"2021-11-29";"6.858074919834665"
"2021-11-28";"6.829834212791437"
"2021-11-27";"6.90856093729298"
"2021-11-26";"6.998236061047627"
"2021-11-25";"7.078269324258629"
"2021-11-24";"7.176749703440095"
"2021-11-23";"7.188899375489468"
