"Datum";"Steiermark"
"2022-09-19";"5.529489813046015"
"2022-09-11";"5.5625615700318"
"2022-09-10";"5.562688579315657"
"2022-09-09";"5.565889530344941"
"2022-09-08";"5.570345506105677"
"2022-09-07";"5.573002471169687"
"2022-09-06";"5.575959771937932"
"2022-09-05";"5.582125592184057"
"2022-09-04";"5.586493043904705"
"2022-09-03";"5.587836169742424"
"2022-09-02";"5.590128304909043"
"2022-09-01";"5.594328753266186"
"2022-08-31";"5.598481197706272"
"2022-08-30";"5.599225594239872"
"2022-08-29";"5.603384716598042"
"2022-08-28";"5.606806666536918"
"2022-08-27";"5.6083893847806126"
"2022-08-26";"5.6131429053900455"
"2022-08-25";"5.617931879528919"
"2022-08-24";"5.6231223049433705"
"2022-08-23";"5.629339655823769"
"2022-08-22";"5.63145134598861"
"2022-08-21";"5.636156252396672"
"2022-08-20";"5.63502596323521"
"2022-08-19";"5.640449144455627"
"2022-08-18";"5.645096650401504"
"2022-08-17";"5.650078364130355"
"2022-08-16";"5.6562866945244386"
"2022-08-15";"5.660169837926749"
"2022-08-14";"5.662642489854706"
"2022-08-13";"5.664530967635946"
"2022-08-12";"5.669569964433643"
"2022-08-11";"5.673280281771275"
"2022-08-10";"5.677773969894287"
"2022-08-09";"5.678248005686494"
"2022-08-08";"5.6857402361489555"
"2022-08-07";"5.690074440456726"
"2022-08-06";"5.690107483483802"
"2022-08-05";"5.69468540174019"
"2022-08-04";"5.701991387340916"
"2022-08-03";"5.706567281573213"
"2022-08-02";"5.713288920638613"
"2022-08-01";"5.718402374542877"
"2022-07-31";"5.72354733336998"
"2022-07-30";"5.721285247650157"
"2022-07-29";"5.727537392493972"
"2022-07-28";"5.735134674594171"
"2022-07-27";"5.7419630085075415"
"2022-07-26";"5.746259652509652"
"2022-07-25";"5.7554560951237335"
"2022-07-24";"5.762816210569873"
"2022-07-23";"5.763790664780764"
"2022-07-22";"5.770482514864642"
"2022-07-21";"5.780678912941725"
"2022-07-20";"5.790946819805038"
"2022-07-19";"5.804717096419406"
"2022-07-18";"5.821536449731143"
"2022-07-17";"5.832888345994858"
"2022-07-16";"5.835529270721081"
"2022-07-15";"5.84819342681543"
"2022-07-14";"5.861817558004889"
"2022-07-13";"5.876020608203385"
"2022-07-12";"5.8879817929464915"
"2022-07-11";"5.903643000793724"
"2022-07-10";"5.914668690197138"
"2022-07-09";"5.916318426939016"
"2022-07-08";"5.927686395508022"
"2022-07-07";"5.938846077506207"
"2022-07-06";"5.949431576302769"
"2022-07-05";"5.96253172350224"
"2022-07-04";"5.978727099527912"
"2022-07-03";"5.986772184697544"
"2022-07-02";"5.992552841581668"
"2022-07-01";"6.002974176815517"
"2022-06-30";"6.013920098002009"
"2022-06-29";"6.025790453888643"
"2022-06-28";"6.035283194057568"
"2022-06-27";"6.051302824533538"
"2022-06-26";"6.061350260979746"
"2022-06-25";"6.063358894202937"
"2022-06-24";"6.072108969739349"
"2022-06-23";"6.081764354857729"
"2022-06-22";"6.092518945156591"
"2022-06-21";"6.100567031840192"
"2022-06-20";"6.113932649694304"
"2022-06-19";"6.12020206381417"
"2022-06-18";"6.122004474949463"
"2022-06-17";"6.130004397886131"
"2022-06-16";"6.135445230191947"
"2022-06-15";"6.139399201751742"
"2022-06-14";"6.146744719420352"
"2022-06-13";"6.1512186649684475"
"2022-06-12";"6.155027027809861"
"2022-06-11";"6.155456516109403"
"2022-06-10";"6.158635134841314"
"2022-06-09";"6.1625320228660945"
"2022-06-08";"6.167004439735177"
"2022-06-07";"6.171752294660771"
"2022-06-06";"6.172469478246495"
"2022-06-05";"6.171605889278084"
"2022-06-04";"6.171100858248215"
"2022-06-03";"6.173411791652806"
"2022-06-02";"6.17612878938055"
"2022-06-01";"6.173839152657407"
"2022-05-31";"6.176277850589777"
"2022-05-30";"6.177752441869571"
"2022-05-29";"6.179305520386061"
"2022-05-28";"6.1803863834718396"
"2022-05-27";"6.18251543806184"
"2022-05-26";"6.182552112296004"
"2022-05-25";"6.184570490607332"
"2022-05-24";"6.186556326670607"
"2022-05-23";"6.187802545212941"
"2022-05-22";"6.189644122850742"
"2022-05-21";"6.1909327489385015"
"2022-05-20";"6.193194793331811"
"2022-05-19";"6.196466369090051"
"2022-05-18";"6.191191905007442"
"2022-05-17";"6.1947598844474205"
"2022-05-16";"6.197885578060401"
"2022-05-15";"6.200425454725351"
"2022-05-14";"6.201126944382326"
"2022-05-13";"6.205802232474524"
"2022-05-12";"6.20888814638436"
"2022-05-11";"6.215449306045636"
"2022-05-10";"6.215738935285677"
"2022-05-09";"6.2234206159326195"
"2022-05-08";"6.226326412120877"
"2022-05-07";"6.229426571879063"
"2022-05-06";"6.23350740897935"
"2022-05-05";"6.2374286352831225"
"2022-05-04";"6.24179319783248"
"2022-05-03";"6.242144098748795"
"2022-05-02";"6.24335172919902"
"2022-05-01";"6.2442607897153355"
"2022-04-30";"6.24356202266168"
"2022-04-29";"6.246586945134794"
"2022-04-28";"6.251394570472295"
"2022-04-27";"6.248848235077315"
"2022-04-26";"6.254332933274691"
"2022-04-25";"6.25548358192238"
"2022-04-24";"6.257836309651718"
"2022-04-23";"6.2586341297451495"
"2022-04-22";"6.264212388055511"
"2022-04-21";"6.265121657305529"
"2022-04-20";"6.271010512999068"
"2022-04-19";"6.277299764107465"
"2022-04-18";"5.439820921170645"
"2022-04-17";"5.436155810068296"
"2022-04-16";"5.436659426593775"
"2022-04-15";"5.444971953008059"
"2022-04-14";"5.449446818662936"
"2022-04-13";"5.461401101768408"
"2022-04-12";"5.4509537743149235"
"2022-04-11";"5.46075215428102"
"2022-04-10";"5.4517981955961545"
"2022-04-09";"5.440382317801673"
"2022-04-08";"5.441155057591944"
"2022-04-07";"5.453249764217539"
"2022-04-06";"5.4576908554299495"
"2022-04-05";"5.46843275645364"
"2022-04-04";"5.477779808025006"
"2022-04-03";"5.487008557004464"
"2022-04-02";"5.490944723578854"
"2022-04-01";"5.506745910560894"
"2022-03-31";"5.507647762321395"
"2022-03-30";"5.520257072150451"
"2022-03-29";"5.52620319791449"
"2022-03-28";"5.56141355104992"
"2022-03-27";"5.588240643991681"
"2022-03-26";"5.61124604999147"
"2022-03-25";"5.633503401360544"
"2022-03-24";"5.689297796404563"
"2022-03-23";"5.730126689030513"
"2022-03-22";"5.806093431485979"
"2022-03-21";"5.8819853963014594"
"2022-03-20";"5.926916609307066"
"2022-03-19";"5.969499963747976"
"2022-03-18";"6.039053436270395"
"2022-03-17";"6.126860182198834"
"2022-03-16";"6.229081014884419"
"2022-03-15";"6.358832967126033"
"2022-03-14";"6.494740920236689"
"2022-03-13";"6.567015737436377"
"2022-03-12";"6.644181958243625"
"2022-03-11";"6.736496921318117"
"2022-03-10";"6.854669759741653"
"2022-03-09";"6.97968385524584"
"2022-03-08";"7.1481251870537434"
"2022-03-07";"7.291379465662817"
