"Datum";"Burgenland"
"2022-09-19";"3.8856699495676335"
"2022-09-11";"3.914669012535738"
"2022-09-10";"3.916736346433129"
"2022-09-09";"3.9193235864012683"
"2022-09-08";"3.923124393899321"
"2022-09-07";"3.927081100843408"
"2022-09-06";"3.93151713649243"
"2022-09-05";"3.936286495946825"
"2022-09-04";"3.9418404535331035"
"2022-09-03";"3.944635801843785"
"2022-09-02";"3.948260673929439"
"2022-09-01";"3.9527948734217366"
"2022-08-31";"3.9567865558173656"
"2022-08-30";"3.9558119272181487"
"2022-08-29";"3.9621872292717732"
"2022-08-28";"3.9683046024677497"
"2022-08-27";"3.9706098269401404"
"2022-08-26";"3.9696744994758237"
"2022-08-25";"3.97523957059731"
"2022-08-24";"3.980565099225681"
"2022-08-23";"3.9866981665040315"
"2022-08-22";"3.9933893651089662"
"2022-08-21";"3.9995362856480403"
"2022-08-20";"4.002113837904723"
"2022-08-19";"4.0054954623734975"
"2022-08-18";"4.011031952616859"
"2022-08-17";"4.0156227771814335"
"2022-08-16";"4.021812341329465"
"2022-08-15";"4.022421757409042"
"2022-08-14";"4.025477376167875"
"2022-08-13";"4.026889228071315"
"2022-08-12";"4.032572781434555"
"2022-08-11";"4.037378308859441"
"2022-08-10";"4.043223362005439"
"2022-08-09";"4.048741624982042"
"2022-08-08";"4.043179587831207"
"2022-08-07";"4.049325767602773"
"2022-08-06";"4.053043717782238"
"2022-08-05";"4.058793395594436"
"2022-08-04";"4.05822266948177"
"2022-08-03";"4.066031829714324"
"2022-08-02";"4.07344077005856"
"2022-08-01";"4.075934123376409"
"2022-07-31";"4.078492748240943"
"2022-07-30";"4.076483866684372"
"2022-07-29";"4.082745413560832"
"2022-07-28";"4.090824294432748"
"2022-07-27";"4.1001943251707855"
"2022-07-26";"4.111561254896708"
"2022-07-25";"4.1244038422784985"
"2022-07-24";"4.1271957287227234"
"2022-07-23";"4.129415336864478"
"2022-07-22";"4.137063901413496"
"2022-07-21";"4.151319671964347"
"2022-07-20";"4.157282729245906"
"2022-07-19";"4.16939622229501"
"2022-07-18";"4.165353575490182"
"2022-07-17";"4.17299720196069"
"2022-07-16";"4.182255386290194"
"2022-07-15";"4.192886598650264"
"2022-07-14";"4.20587297847868"
"2022-07-13";"4.2207589021854774"
"2022-07-12";"4.23601660909313"
"2022-07-11";"4.250164545085354"
"2022-07-10";"4.259027592314071"
"2022-07-09";"4.2614336730740785"
"2022-07-08";"4.272025646276277"
"2022-07-07";"4.285795245246663"
"2022-07-06";"4.290565019108643"
"2022-07-05";"4.30490716653006"
"2022-07-04";"4.320010316442547"
"2022-07-03";"4.331429802822972"
"2022-07-02";"4.341315209722242"
"2022-07-01";"4.351088854574055"
"2022-06-30";"4.363810047618358"
"2022-06-29";"4.374446846480856"
"2022-06-28";"4.390627502948929"
"2022-06-27";"4.397627326651667"
"2022-06-26";"4.416760211006684"
"2022-06-25";"4.4254293107504115"
"2022-06-24";"4.437139298165442"
"2022-06-23";"4.44779383515087"
"2022-06-22";"4.461407344276874"
"2022-06-21";"4.47287668383003"
"2022-06-20";"4.485908880907316"
"2022-06-19";"4.49851295003811"
"2022-06-18";"4.504133777262354"
"2022-06-17";"4.514029483661013"
"2022-06-16";"4.523152983252312"
"2022-06-15";"4.530301091938021"
"2022-06-14";"4.537950685592384"
"2022-06-13";"4.5477895627474085"
"2022-06-12";"4.554464434323412"
"2022-06-11";"4.556946694321226"
"2022-06-10";"4.561504538772788"
"2022-06-09";"4.557587890921224"
"2022-06-08";"4.563297722906844"
"2022-06-07";"4.567737032110964"
"2022-06-06";"4.563778808853731"
"2022-06-05";"4.565584623110989"
"2022-06-04";"4.567287564037178"
"2022-06-03";"4.569722541679678"
"2022-06-02";"4.573101019801527"
"2022-06-01";"4.577112909746962"
"2022-05-31";"4.5789991834118124"
"2022-05-30";"4.581796522416439"
"2022-05-29";"4.585403133358808"
"2022-05-28";"4.587226104374685"
"2022-05-27";"4.58936643796324"
"2022-05-26";"4.5916493204359"
"2022-05-25";"4.593512429279048"
"2022-05-24";"4.5961866971036365"
"2022-05-23";"4.599886536132108"
"2022-05-22";"4.602427013178282"
"2022-05-21";"4.6039102544427735"
"2022-05-20";"4.606490545178156"
"2022-05-19";"4.611021879298818"
"2022-05-18";"4.614923123072308"
"2022-05-17";"4.610387611218867"
"2022-05-16";"4.615858827155737"
"2022-05-15";"4.6207726487287095"
"2022-05-14";"4.623733104848359"
"2022-05-13";"4.629736978381679"
"2022-05-12";"4.6352183737270565"
"2022-05-11";"4.641072327896796"
"2022-05-10";"4.647301616857524"
"2022-05-09";"4.648993236414523"
"2022-05-08";"4.657937577405108"
"2022-05-07";"4.6625862539472145"
"2022-05-06";"4.670306069054926"
"2022-05-05";"4.670667115217612"
"2022-05-04";"4.679416836494748"
"2022-05-03";"4.68819940160671"
"2022-05-02";"4.701009496511646"
"2022-05-01";"4.709613291049369"
"2022-04-30";"4.709117198549339"
"2022-04-29";"4.708209693372898"
"2022-04-28";"4.717168113529156"
"2022-04-27";"4.726798964076329"
"2022-04-26";"4.720398009950249"
"2022-04-25";"4.726131836724918"
"2022-04-24";"4.737743489604174"
"2022-04-23";"4.737816756319093"
"2022-04-22";"4.74752180968141"
"2022-04-21";"4.750326081705609"
"2022-04-20";"4.758173313837479"
"2022-04-19";"4.773211666410042"
"2022-04-18";"3.838615495970267"
"2022-04-17";"3.8459971480953348"
"2022-04-16";"3.8508293152540163"
"2022-04-15";"3.8558517257187765"
"2022-04-14";"3.870745056787364"
"2022-04-13";"3.874115959709194"
