"Datum";"Tirol"
"2022-09-19";"3.166267490800862"
"2022-09-11";"3.190620213785209"
"2022-09-10";"3.1918986788453614"
"2022-09-09";"3.1937309930863242"
"2022-09-08";"3.1962210727174494"
"2022-09-07";"3.198393959096146"
"2022-09-06";"3.2009424743604966"
"2022-09-05";"3.2012759403890887"
"2022-09-04";"3.202027340739165"
"2022-09-03";"3.203309476304662"
"2022-09-02";"3.2048493949702177"
"2022-09-01";"3.2066551837871513"
"2022-08-31";"3.208896895850667"
"2022-08-30";"3.20663530372433"
"2022-08-29";"3.2090938097544517"
"2022-08-28";"3.205636404999414"
"2022-08-27";"3.2043619779694366"
"2022-08-26";"3.206115999760806"
"2022-08-25";"3.208713706317529"
"2022-08-24";"3.209204172656567"
"2022-08-23";"3.2094660804164925"
"2022-08-22";"3.203412049260538"
"2022-08-21";"3.206660983391437"
"2022-08-20";"3.2058171597892993"
"2022-08-19";"3.2079822554867596"
"2022-08-18";"3.2088532864121504"
"2022-08-17";"3.211708601168821"
"2022-08-16";"3.207916107078987"
"2022-08-15";"3.209840413795346"
"2022-08-14";"3.211429155686925"
"2022-08-13";"3.212914894952562"
"2022-08-12";"3.214903006236726"
"2022-08-11";"3.217972211808701"
"2022-08-10";"3.2162734112075477"
"2022-08-09";"3.2126958647914665"
"2022-08-08";"3.2163729030509995"
"2022-08-07";"3.2210601662226113"
"2022-08-06";"3.223043001994214"
"2022-08-05";"3.225443762033927"
"2022-08-04";"3.2284913777944504"
"2022-08-03";"3.2294480601015305"
"2022-08-02";"3.230619221596983"
"2022-08-01";"3.2341222239470873"
"2022-07-31";"3.2364441513167193"
"2022-07-30";"3.2387633298447094"
"2022-07-29";"3.238788084656684"
"2022-07-28";"3.2421072516470284"
"2022-07-27";"3.245602008349211"
"2022-07-26";"3.249742600504148"
"2022-07-25";"3.2539298555179252"
"2022-07-24";"3.2578553284113023"
"2022-07-23";"3.261990194981297"
"2022-07-22";"3.26355207866828"
"2022-07-21";"3.266523502743975"
"2022-07-20";"3.272606443377215"
"2022-07-19";"3.2799925247796367"
"2022-07-18";"3.279027446228998"
"2022-07-17";"3.2856939824104563"
"2022-07-16";"3.2906720063690424"
"2022-07-15";"3.296612996002494"
"2022-07-14";"3.3040874759581613"
"2022-07-13";"3.310719395277549"
"2022-07-12";"3.3191120462094426"
"2022-07-11";"3.329886094425008"
"2022-07-10";"3.3352611355081554"
"2022-07-09";"3.332082882803363"
"2022-07-08";"3.3344628273691135"
"2022-07-07";"3.341140810140535"
"2022-07-06";"3.348373893532559"
"2022-07-05";"3.3531507756477734"
"2022-07-04";"3.358979821349834"
"2022-07-03";"3.3631813609210246"
"2022-07-02";"3.3667940611145233"
"2022-07-01";"3.371589502752801"
"2022-06-30";"3.3695730793308742"
"2022-06-29";"3.37345664358556"
"2022-06-28";"3.3745387546249703"
"2022-06-27";"3.378853298523948"
"2022-06-26";"3.3787945446546415"
"2022-06-25";"3.3796536295416457"
"2022-06-24";"3.383817641708387"
"2022-06-23";"3.388179969624954"
"2022-06-22";"3.391158224569472"
"2022-06-21";"3.396290400544621"
"2022-06-20";"3.402369489213576"
"2022-06-19";"3.4038056579378524"
"2022-06-18";"3.4071723520676955"
"2022-06-17";"3.410866920190805"
"2022-06-16";"3.4151090541167357"
"2022-06-15";"3.417356088504422"
"2022-06-14";"3.422164902378915"
"2022-06-13";"3.4284076837268325"
"2022-06-12";"3.4303034026561816"
"2022-06-11";"3.432069358535992"
"2022-06-10";"3.434453204293579"
"2022-06-09";"3.4361088887521287"
"2022-06-08";"3.438577763179504"
"2022-06-07";"3.4411650654976977"
"2022-06-06";"3.4449337621504617"
"2022-06-05";"3.44566899977886"
"2022-06-04";"3.4416589928131573"
"2022-06-03";"3.442978562440655"
"2022-06-02";"3.444760257043994"
"2022-06-01";"3.4464195101344823"
"2022-05-31";"3.448453608247423"
"2022-05-30";"3.4499562953967065"
"2022-05-29";"3.451611654993615"
"2022-05-28";"3.452350849670504"
"2022-05-27";"3.4533399062074945"
"2022-05-26";"3.454409794207022"
"2022-05-25";"3.455150187993224"
"2022-05-24";"3.453843272497126"
"2022-05-23";"3.4513402360138055"
"2022-05-22";"3.447919626023399"
"2022-05-21";"3.4477771522135505"
"2022-05-20";"3.448854902669956"
"2022-05-19";"3.446502987916571"
"2022-05-18";"3.4449607434705976"
"2022-05-17";"3.4480261149824885"
"2022-05-16";"3.451767185683323"
"2022-05-15";"3.454728286786507"
"2022-05-14";"3.453926897066755"
"2022-05-13";"3.4561404874403543"
"2022-05-12";"3.4561105124443348"
"2022-05-11";"3.459623002464104"
"2022-05-10";"3.465063001145475"
"2022-05-09";"3.4687202741618126"
"2022-05-08";"3.4744519450143834"
"2022-05-07";"3.4750073811247004"
"2022-05-06";"3.4757338894507557"
"2022-05-05";"3.4757910759260278"
"2022-05-04";"3.4766036095941693"
"2022-05-03";"3.47980116919223"
"2022-05-02";"3.4826209869873757"
"2022-05-01";"3.4863420973182992"
"2022-04-30";"3.4883018431787676"
"2022-04-29";"3.490694984754495"
"2022-04-28";"3.4905528856903114"
"2022-04-27";"3.493383105925589"
"2022-04-26";"3.494660496104745"
"2022-04-25";"3.4981546310976976"
"2022-04-24";"3.499976226576574"
"2022-04-23";"3.5030483129848085"
"2022-04-22";"3.5057083515233294"
"2022-04-21";"3.5069596196379145"
"2022-04-20";"3.5082229776672307"
"2022-04-19";"3.5110363931404653"
"2022-04-18";"2.7165598401460187"
"2022-04-17";"2.7192585293099314"
"2022-04-16";"2.7216505837820546"
