"Datum";"Burgenland"
"2022-09-19";"0.2809631399739159"
"2022-09-11";"0.28054566131125036"
"2022-09-10";"0.350682076639063"
"2022-09-09";"0.514333712403959"
"2022-09-08";"0.5343726882119055"
"2022-09-07";"0.5978294449370694"
"2022-09-06";"0.6412472258542866"
"2022-09-05";"0.7447819341953433"
"2022-09-04";"0.37406088174833385"
"2022-09-03";"0.48427524869203936"
"2022-09-02";"0.6045091035397181"
"2022-09-01";"0.531032858910581"
"2022-08-31";"0.7147234704834236"
"2022-08-30";"0.8449768132350756"
"2022-08-29";"0.808238690920507"
"2022-08-28";"0.30392446642052123"
"2022-08-27";"0.718063299784748"
"2022-08-26";"0.7314226169900456"
"2022-08-25";"0.6980243239768016"
"2022-08-24";"0.8015590323178582"
"2022-08-23";"0.8716954476456709"
"2022-08-22";"0.7982192030165338"
"2022-08-21";"0.33398293013244096"
"2022-08-20";"0.4375176384734976"
"2022-08-19";"0.7147234704834236"
"2022-08-18";"0.5911497863344204"
"2022-08-17";"0.7948793737152094"
"2022-08-16";"0.9084335699602393"
"2022-08-15";"0.39076002825495587"
"2022-08-14";"0.1803507822715181"
"2022-08-13";"0.7247429583873968"
"2022-08-12";"0.611188762142367"
"2022-08-11";"0.7414421048940188"
"2022-08-10";"0.6980243239768016"
"2022-08-09";"0.9485115215761322"
"2022-08-08";"0.774840397907263"
"2022-08-07";"0.4675761021854173"
"2022-08-06";"0.7214031290860724"
"2022-08-05";"0.7514615927979921"
"2022-08-04";"0.9752301559867276"
"2022-08-03";"0.921792887165537"
"2022-08-02";"1.1288623038476504"
"2022-08-01";"1.1355419624502991"
"2022-07-31";"0.5711108105264739"
"2022-07-30";"0.7715005686059385"
"2022-07-29";"0.9919293024933495"
"2022-07-28";"1.1455614503542724"
"2022-07-27";"1.3826893307483055"
"2022-07-26";"1.5530206251158503"
"2022-07-25";"1.1455614503542724"
"2022-07-24";"1.0754250350264598"
"2022-07-23";"0.9151132285628882"
"2022-07-22";"1.6966332850727999"
"2022-07-21";"1.5096028441986329"
"2022-07-20";"1.4261071116655228"
"2022-07-19";"1.9304213361655085"
"2022-07-18";"1.6932934557714754"
"2022-07-17";"1.0754250350264598"
"2022-07-16";"1.2290571828873824"
"2022-07-15";"1.492903697692011"
"2022-07-14";"1.6999731143741243"
"2022-07-13";"1.730031578086044"
"2022-07-12";"1.5930985767317434"
"2022-07-11";"1.7767891883045857"
"2022-07-10";"1.0520462299171889"
"2022-07-09";"1.175619914066192"
"2022-07-08";"1.5196223321026063"
"2022-07-07";"1.3025334275165197"
"2022-07-06";"1.566379942321148"
"2022-07-05";"2.4113567555562234"
"2022-07-04";"1.2290571828873824"
"2022-07-03";"1.0587258885198376"
"2022-07-02";"1.0420267420132159"
"2022-07-01";"1.3492910377350615"
"2022-06-30";"1.1221826452450014"
"2022-06-29";"1.6966332850727999"
"2022-06-28";"1.4895638683906867"
"2022-06-27";"1.9805187756853746"
"2022-06-26";"0.8917344234536173"
"2022-06-25";"1.1989987191754627"
"2022-06-24";"1.085444522930433"
"2022-06-23";"1.3793495014469812"
"2022-06-22";"1.1555809382582456"
"2022-06-21";"1.305873256817844"
"2022-06-20";"1.255775817297978"
"2022-06-19";"0.5577514933211764"
"2022-06-18";"0.978569985288052"
"2022-06-17";"0.8984140820562662"
"2022-06-16";"0.701364153278126"
"2022-06-15";"0.7481217634966677"
"2022-06-14";"0.9585310094801055"
"2022-06-13";"0.6479268844569354"
"2022-06-12";"0.24046770969535747"
"2022-06-11";"0.44085746777482204"
"2022-06-10";"0.35402190594038735"
"2022-06-09";"0.5510718347185276"
"2022-06-08";"0.4274981505695244"
"2022-06-07";"0.350682076639063"
"2022-06-06";"0.17367112366886928"
"2022-06-05";"0.16365163576489605"
"2022-06-04";"0.23378805109270864"
"2022-06-03";"0.3239634422284677"
"2022-06-02";"0.3840803696523071"
"2022-06-01";"0.1803507822715181"
"2022-05-31";"0.26718634410595277"
"2022-05-30";"0.3440024180364142"
"2022-05-29";"0.17367112366886928"
"2022-05-28";"0.20372958738078897"
"2022-05-27";"0.21708890458608662"
"2022-05-26";"0.17701095297019367"
"2022-05-25";"0.2538270269006551"
"2022-05-24";"0.350682076639063"
"2022-05-23";"0.24046770969535747"
"2022-05-22";"0.14027283065562518"
"2022-05-21";"0.2438075389966819"
"2022-05-20";"0.4274981505695244"
"2022-05-19";"0.36738122314568505"
"2022-05-18";"0.29724480781787244"
"2022-05-17";"0.514333712403959"
"2022-05-16";"0.4608964435827685"
"2022-05-15";"0.27720583200992593"
"2022-05-14";"0.5610913226225007"
"2022-05-13";"0.5109938831026346"
"2022-05-12";"0.5443921761158788"
"2022-05-11";"0.5777904691291228"
"2022-05-10";"0.8750352769469952"
"2022-05-09";"0.8249378374271291"
"2022-05-08";"0.4274981505695244"
"2022-05-07";"0.7080438118807747"
"2022-05-06";"0.7481217634966677"
"2022-05-05";"0.7982192030165338"
"2022-05-04";"0.7982192030165338"
"2022-05-03";"1.15892076755957"
"2022-05-02";"0.774840397907263"
"2022-05-01";"0.6646260309635574"
"2022-04-30";"0.627887908648989"
"2022-04-29";"0.8015590323178582"
"2022-04-28";"0.8583361304403732"
"2022-04-27";"0.8449768132350756"
"2022-04-26";"1.215697865682085"
"2022-04-25";"1.0253275955065937"
"2022-04-24";"0.7113836411820992"
"2022-04-23";"0.8516564718377244"
"2022-04-22";"0.9485115215761322"
"2022-04-21";"1.3860291600496297"
"2022-04-20";"1.3025334275165197"
"2022-04-19";"1.4561655753774425"
