"Datum";"Niederösterreich"
"2022-09-19";"4.28522364006235"
"2022-09-11";"4.317548598916267"
"2022-09-10";"4.319984221559839"
"2022-09-09";"4.319732367637881"
"2022-09-08";"4.324124471038459"
"2022-09-07";"4.3263294582835705"
"2022-09-06";"4.325612245006595"
"2022-09-05";"4.332041433209475"
"2022-09-04";"4.333082944234365"
"2022-09-03";"4.336229135701228"
"2022-09-02";"4.340460552684598"
"2022-09-01";"4.345258093992823"
"2022-08-31";"4.349917146985639"
"2022-08-30";"4.352553626806326"
"2022-08-29";"4.352433293645383"
"2022-08-28";"4.353328706399565"
"2022-08-27";"4.355155338532428"
"2022-08-26";"4.35991760175473"
"2022-08-25";"4.365217053979556"
"2022-08-24";"4.3682444059176815"
"2022-08-23";"4.368647285745614"
"2022-08-22";"4.3735940474130475"
"2022-08-21";"4.37250399739317"
"2022-08-20";"4.376246699395517"
"2022-08-19";"4.381373683770911"
"2022-08-18";"4.38570767596593"
"2022-08-17";"4.383360844876219"
"2022-08-16";"4.38603179028952"
"2022-08-15";"4.384592317967451"
"2022-08-14";"4.388640831058611"
"2022-08-13";"4.3923897287336136"
"2022-08-12";"4.398227145844818"
"2022-08-11";"4.403274195827405"
"2022-08-10";"4.404711517163792"
"2022-08-09";"4.411343202940456"
"2022-08-08";"4.415603264203927"
"2022-08-07";"4.416371838254234"
"2022-08-06";"4.420175660932524"
"2022-08-05";"4.425921266932376"
"2022-08-04";"4.431277080794005"
"2022-08-03";"4.4319570105703"
"2022-08-02";"4.434680687480751"
"2022-08-01";"4.440566349832258"
"2022-07-31";"4.443520024203003"
"2022-07-30";"4.447552509849425"
"2022-07-29";"4.450279006840492"
"2022-07-28";"4.4547983776355045"
"2022-07-27";"4.460273347040606"
"2022-07-26";"4.467990615425334"
"2022-07-25";"4.475668820743898"
"2022-07-24";"4.477171383056149"
"2022-07-23";"4.489355573002864"
"2022-07-22";"4.493083388370683"
"2022-07-21";"4.503048714799733"
"2022-07-20";"4.511604843919171"
"2022-07-19";"4.5198062125961815"
"2022-07-18";"4.535917834107814"
"2022-07-17";"4.547581581205011"
"2022-07-16";"4.554442477184702"
"2022-07-15";"4.56633628693733"
"2022-07-14";"4.577734858705897"
"2022-07-13";"4.5877248802358075"
"2022-07-12";"4.5974260455745855"
"2022-07-11";"4.609777015437392"
"2022-07-10";"4.617758090718903"
"2022-07-09";"4.619853554502924"
"2022-07-08";"4.6311987287365355"
"2022-07-07";"4.640870465980079"
"2022-07-06";"4.65065821435478"
"2022-07-05";"4.66119176613419"
"2022-07-04";"4.6711580584291825"
"2022-07-03";"4.677454030176587"
"2022-07-02";"4.686466133201316"
"2022-07-01";"4.697479683430198"
"2022-06-30";"4.7067602278760745"
"2022-06-29";"4.720139180514728"
"2022-06-28";"4.7254979744431225"
"2022-06-27";"4.73513159036772"
"2022-06-26";"4.749852776330061"
"2022-06-25";"4.761344861735539"
"2022-06-24";"4.768651217110814"
"2022-06-23";"4.778093045666256"
"2022-06-22";"4.78851147547382"
"2022-06-21";"4.7962099674141285"
"2022-06-20";"4.810904717359348"
"2022-06-19";"4.811648167570129"
"2022-06-18";"4.8184086089228515"
"2022-06-17";"4.829315684611288"
"2022-06-16";"4.834883244420197"
"2022-06-15";"4.84027105517909"
"2022-06-14";"4.8500991080277505"
"2022-06-13";"4.853694193686103"
"2022-06-12";"4.8578730467560955"
"2022-06-11";"4.86068280842767"
"2022-06-10";"4.864324059302692"
"2022-06-09";"4.869432198544278"
"2022-06-08";"4.872105667454783"
"2022-06-07";"4.877841661213541"
"2022-06-06";"4.874575254847092"
"2022-06-05";"4.875427943124173"
"2022-06-04";"4.878658681436841"
"2022-06-03";"4.882559552336108"
"2022-06-02";"4.885281664477202"
"2022-06-01";"4.886944750827234"
"2022-05-31";"4.888031720792819"
"2022-05-30";"4.888306708623796"
"2022-05-29";"4.887999045999159"
"2022-05-28";"4.882703377966942"
"2022-05-27";"4.884514155417501"
"2022-05-26";"4.886093802441915"
"2022-05-25";"4.863763078907891"
"2022-05-24";"4.863666336130309"
"2022-05-23";"4.863499705395047"
"2022-05-22";"4.863175201457316"
"2022-05-21";"4.8629264189621395"
"2022-05-20";"4.866413055394196"
"2022-05-19";"4.87130521211999"
"2022-05-18";"4.873129505846241"
"2022-05-17";"4.875085408717815"
"2022-05-16";"4.875889887839359"
"2022-05-15";"4.877567365468342"
"2022-05-14";"4.878067303152771"
"2022-05-13";"4.881127068966828"
"2022-05-12";"4.885555451244668"
"2022-05-11";"4.890286113492744"
"2022-05-10";"4.886596129124139"
"2022-05-09";"4.885365167359089"
"2022-05-08";"4.885281305257414"
"2022-05-07";"4.8875331544682465"
"2022-05-06";"4.891868003862404"
"2022-05-05";"4.888836559282903"
"2022-05-04";"4.892519621976614"
"2022-05-03";"4.888438394128742"
"2022-05-02";"4.892400590993769"
"2022-05-01";"4.8903214852582915"
"2022-04-30";"4.876967984109277"
"2022-04-29";"4.866054496714252"
"2022-04-28";"4.6993792736312745"
"2022-04-27";"4.696954609468657"
"2022-04-26";"4.701126923953349"
"2022-04-25";"4.705982987955743"
"2022-04-24";"4.700932798824184"
"2022-04-23";"4.687680376467171"
"2022-04-22";"4.671190555720909"
"2022-04-21";"4.677704590974322"
"2022-04-20";"4.685445874549113"
"2022-04-19";"4.687436596562372"
"2022-04-18";"3.897927529752345"
"2022-04-17";"3.9021097135081817"
"2022-04-16";"3.906733323329569"
"2022-04-15";"3.9197611164451676"
"2022-04-14";"3.9267778437023226"
"2022-04-13";"3.9393161836362163"
"2022-04-12";"3.9487436542809604"
"2022-04-11";"3.9610161076861115"
"2022-04-10";"3.9650613330758793"
"2022-04-09";"3.9680191906370346"
"2022-04-08";"3.982213051774171"
"2022-04-07";"3.9784903967239473"
"2022-04-06";"3.9935384221437076"
"2022-04-05";"4.003375582828295"
"2022-04-04";"4.013384368576452"
"2022-04-03";"4.031410717248244"
"2022-04-02";"4.020281752665275"
"2022-04-01";"4.039981014602004"
"2022-03-31";"4.056336921505461"
"2022-03-30";"4.082197858718368"
"2022-03-29";"4.1054106549860165"
"2022-03-28";"4.152171311668034"
"2022-03-27";"4.178034231988401"
"2022-03-26";"3.93154486586494"
"2022-03-25";"3.7630157334259553"
"2022-03-24";"3.4392768102164903"
"2022-03-23";"3.471969972151592"
"2022-03-22";"3.5081006206521823"
"2022-03-21";"3.5710277576876077"
"2022-03-20";"3.6165280067719094"
