"Datum";"Wien"
"2022-09-19";"3.7393803716075453"
"2022-09-11";"3.761435296207478"
"2022-09-10";"3.7636716372016057"
"2022-09-09";"3.766346030707059"
"2022-09-08";"3.7671924891154664"
"2022-09-07";"3.7698057360565747"
"2022-09-06";"3.768425146143541"
"2022-09-05";"3.7699727297567107"
"2022-09-04";"3.77128388165071"
"2022-09-03";"3.774128519007989"
"2022-09-02";"3.775426593653594"
"2022-09-01";"3.7771194758283175"
"2022-08-31";"3.77784376718578"
"2022-08-30";"3.778878154528098"
"2022-08-29";"3.782416215030407"
"2022-08-28";"3.784646076175455"
"2022-08-27";"3.786800603870391"
"2022-08-26";"3.790327452194901"
"2022-08-25";"3.795385050119125"
"2022-08-24";"3.797572482469787"
"2022-08-23";"3.7999478616015177"
"2022-08-22";"3.803346328402096"
"2022-08-21";"3.8027681755157303"
"2022-08-20";"3.805957941801923"
"2022-08-19";"3.807523498990333"
"2022-08-18";"3.806331796949467"
"2022-08-17";"3.8109735230424273"
"2022-08-16";"3.8162701904659104"
"2022-08-15";"3.819270681529468"
"2022-08-14";"3.8217928467125146"
"2022-08-13";"3.823924928720496"
"2022-08-12";"3.8288480981333213"
"2022-08-11";"3.8310046021808533"
"2022-08-10";"3.8327612954788552"
"2022-08-09";"3.8385781263004097"
"2022-08-08";"3.8402208706044756"
"2022-08-07";"3.8423227346866407"
"2022-08-06";"3.8466042263390623"
"2022-08-05";"3.8486812100588796"
"2022-08-04";"3.8522029435976703"
"2022-08-03";"3.8568779745085493"
"2022-08-02";"3.85846372688478"
"2022-08-01";"3.869230516632343"
"2022-07-31";"3.871250578570864"
"2022-07-30";"3.8741686601236682"
"2022-07-29";"3.877348188321329"
"2022-07-28";"3.8816292249604647"
"2022-07-27";"3.883077383846512"
"2022-07-26";"3.8929736387898326"
"2022-07-25";"3.8872209993858267"
"2022-07-24";"3.8989748451075807"
"2022-07-23";"3.9110476541390318"
"2022-07-22";"3.9175770996665835"
"2022-07-21";"3.927302467873663"
"2022-07-20";"3.934490301147648"
"2022-07-19";"3.9468788765723644"
"2022-07-18";"3.960237575218164"
"2022-07-17";"3.9665901235922476"
"2022-07-16";"3.973811736003756"
"2022-07-15";"3.986324718957211"
"2022-07-14";"3.9972047242927053"
"2022-07-13";"4.009834657547426"
"2022-07-12";"4.0222522821130715"
"2022-07-11";"4.037125566596583"
"2022-07-10";"4.049667090888851"
"2022-07-09";"4.054960088698483"
"2022-07-08";"4.063918568501307"
"2022-07-07";"4.072918476964923"
"2022-07-06";"4.083204540272113"
"2022-07-05";"4.096084562226513"
"2022-07-04";"4.108299888540038"
"2022-07-03";"4.121256337635616"
"2022-07-02";"4.130402411284153"
"2022-07-01";"4.140703600383486"
"2022-06-30";"4.151961158873178"
"2022-06-29";"4.159785429575454"
"2022-06-28";"4.17685231494527"
"2022-06-27";"4.188284911943711"
"2022-06-26";"4.2166348770832"
"2022-06-25";"4.224294650351568"
"2022-06-24";"4.2348737519226605"
"2022-06-23";"4.248940152007028"
"2022-06-22";"4.258864033398516"
"2022-06-21";"4.273248736818277"
"2022-06-20";"4.288528694876704"
"2022-06-19";"4.2969874883415065"
"2022-06-18";"4.30474771249712"
"2022-06-17";"4.3142752006871765"
"2022-06-16";"4.319047474935258"
"2022-06-15";"4.3267450447075335"
"2022-06-14";"4.339619772854136"
"2022-06-13";"4.350894465487986"
"2022-06-12";"4.3565380248106695"
"2022-06-11";"4.360179430173796"
"2022-06-10";"4.363099024423299"
"2022-06-09";"4.368576025920291"
"2022-06-08";"4.374031190460007"
"2022-06-07";"4.381555715963564"
"2022-06-06";"4.385569409223772"
"2022-06-05";"4.386848259733113"
"2022-06-04";"4.389191904061187"
"2022-06-03";"4.393818443232086"
"2022-06-02";"4.398119789993919"
"2022-06-01";"4.401932695951746"
"2022-05-31";"4.407108896740465"
"2022-05-30";"4.4130010733428815"
"2022-05-29";"4.415725480199063"
"2022-05-28";"4.417162945958235"
"2022-05-27";"4.4204376710519595"
"2022-05-26";"4.422090909393778"
"2022-05-25";"4.424680427400573"
"2022-05-24";"4.424601585649076"
"2022-05-23";"4.424049547573287"
"2022-05-22";"4.422372816390746"
"2022-05-21";"4.425385590569881"
"2022-05-20";"4.428031930026162"
"2022-05-19";"4.430752189414656"
"2022-05-18";"4.435551481684347"
"2022-05-17";"4.4394756338031325"
"2022-05-16";"4.443203993951683"
"2022-05-15";"4.443586864214261"
"2022-05-14";"4.447079085255704"
"2022-05-13";"4.451552143061041"
"2022-05-12";"4.4555307651023925"
"2022-05-11";"4.462087468182274"
"2022-05-10";"4.467761920990919"
"2022-05-09";"4.49961052366196"
"2022-05-08";"4.497891966837384"
"2022-05-07";"4.5025335252842416"
"2022-05-06";"4.50619601952685"
"2022-05-05";"4.508204637042946"
"2022-05-04";"4.513283296983597"
"2022-05-03";"4.51507666283286"
"2022-05-02";"4.523247641522911"
"2022-05-01";"4.527854431082416"
"2022-04-30";"4.53156105057951"
"2022-04-29";"4.5360114777618366"
"2022-04-28";"4.53905797301399"
"2022-04-27";"4.545145643928268"
"2022-04-26";"4.553739318335813"
"2022-04-25";"4.561654094434689"
"2022-04-24";"4.566728978898883"
"2022-04-23";"4.567323604109546"
"2022-04-22";"4.569461753011691"
"2022-04-21";"4.573284464588812"
"2022-04-20";"4.575573494857154"
"2022-04-19";"4.587559411357024"
"2022-04-18";"3.965996341973735"
"2022-04-17";"3.9705208555406495"
"2022-04-16";"3.977227129173728"
"2022-04-15";"3.9850345334173944"
"2022-04-14";"3.9911991982018846"
