"Datum";"Kärnten"
"2022-04-15";"0.7022515277940745"
"2022-04-14";"0.7693006686387349"
"2022-04-13";"0.7198960385426693"
"2022-04-12";"0.9722125422475755"
"2022-04-11";"0.6704914084466037"
"2022-04-10";"0.48698849666121746"
"2022-04-09";"0.9281012653760884"
"2022-04-08";"0.9951504062207487"
"2022-04-07";"1.0869018621134419"
"2022-04-06";"1.598592673822692"
"2022-04-05";"1.8526736286024577"
"2022-04-04";"1.0092660148196246"
"2022-04-03";"0.8257631030342384"
"2022-04-02";"1.1574799051078213"
"2022-04-01";"1.9461895355700103"
"2022-03-31";"1.711517542613699"
"2022-03-30";"2.524929488123921"
"2022-03-29";"3.1230784025012857"
"2022-03-28";"2.013238676414671"
"2022-03-27";"1.8367935689287223"
"2022-03-26";"2.262026277969858"
"2022-03-25";"3.0613226148812043"
"2022-03-24";"3.2307099180677143"
"2022-03-23";"4.229389226438181"
"2022-03-22";"4.485234632292807"
"2022-03-21";"3.0507359084320473"
"2022-03-20";"2.842530681598628"
"2022-03-19";"3.324225825035267"
"2022-03-18";"4.472883474768791"
"2022-03-17";"4.185277949566695"
"2022-03-16";"5.50155845141187"
"2022-03-15";"5.815630742736857"
"2022-03-14";"3.0401492019828904"
"2022-03-13";"2.7119613020590263"
"2022-03-12";"3.2448255266665904"
"2022-03-11";"4.568163832811203"
"2022-03-10";"4.185277949566695"
"2022-03-09";"4.910467341333943"
"2022-03-08";"4.9069384391842235"
"2022-03-07";"2.853117388047785"
"2022-03-06";"2.438471385455806"
"2022-03-05";"2.7437214214064967"
"2022-03-04";"3.692996099680899"
"2022-03-03";"3.3348125314844235"
"2022-03-02";"3.8023920663221866"
"2022-03-01";"3.558897817991578"
"2022-02-28";"2.2884930440927502"
"2022-02-27";"1.937367280195713"
"2022-02-26";"2.0414698936124225"
"2022-02-25";"2.988980120811965"
"2022-02-24";"2.787832698277984"
"2022-02-23";"3.4389151449011335"
"2022-02-22";"3.807685419546765"
"2022-02-21";"2.5602185096211105"
"2022-02-20";"2.226737256472668"
"2022-02-19";"2.3255465166647995"
"2022-02-18";"2.5990364332680196"
"2022-02-17";"3.4865553239223397"
"2022-02-16";"3.0842604788543775"
"2022-02-15";"3.5112576389703722"
"2022-02-14";"2.674907829486977"
"2022-02-13";"2.650205514438944"
"2022-02-12";"2.761365932155092"
"2022-02-11";"3.8517966964182526"
"2022-02-10";"4.128815515171191"
"2022-02-09";"5.310997735327045"
"2022-02-08";"5.633892282026331"
"2022-02-07";"3.645355920659693"
"2022-02-06";"3.6294758609859574"
"2022-02-05";"4.188806851716414"
"2022-02-04";"5.700941422870991"
"2022-02-03";"3.101904989602972"
"2022-02-02";"4.702262114500523"
"2022-02-01";"3.8006276152473273"
"2022-01-31";"2.42435577685693"
"2022-01-30";"2.302608652691626"
"2022-01-29";"2.897228664919272"
"2022-01-28";"3.2412966245168713"
"2022-01-27";"4.352900801678346"
"2022-01-26";"3.68946719753118"
"2022-01-25";"4.089997591524282"
"2022-01-24";"1.8509091775275983"
"2022-01-23";"2.2249728053978086"
"2022-01-22";"2.087345621558769"
"2022-01-21";"3.071909321330361"
"2022-01-20";"2.2461462182961225"
"2022-01-19";"2.0079453231900923"
"2022-01-18";"2.055585502211298"
"2022-01-17";"1.438027626010479"
"2022-01-16";"1.2086489862787462"
"2022-01-15";"1.0780796067391445"
"2022-01-14";"1.0657284492151282"
"2022-01-13";"1.2104134373536055"
"2022-01-12";"0.9898570529961702"
"2022-01-11";"1.2545247142250928"
"2022-01-10";"1.0039726615950462"
"2022-01-09";"0.6634336041471658"
"2022-01-08";"0.7781229240130322"
"2022-01-07";"0.4058237472176812"
"2022-01-06";"0.7093093320935124"
"2022-01-05";"0.7798873750878916"
"2022-01-04";"0.7675362175638754"
"2022-01-03";"0.2734899166032199"
"2022-01-02";"0.19408961823454318"
"2022-01-01";"0.12880492846474229"
"2021-12-31";"0.2627369736606184"
"2021-12-30";"0.2911409708131177"
"2021-12-29";"0.2787142220588993"
"2021-12-28";"0.40475695942311485"
"2021-12-27";"0.19527748042343257"
"2021-12-26";"0.21302997864374465"
"2021-12-25";"0.16154773380483967"
"2021-12-24";"0.17574973238108935"
"2021-12-23";"0.2290072270420255"
"2021-12-22";"0.34794896511811624"
"2021-12-21";"0.27693897223686803"
"2021-12-20";"0.21480522846577585"
"2021-12-19";"0.23610822633015033"
"2021-12-18";"0.2627369736606184"
"2021-12-17";"0.31421921849952333"
"2021-12-16";"0.20060322988952622"
"2021-12-15";"0.4278352071095205"
"2021-12-14";"0.42073420782139564"
"2021-12-13";"0.34439846547405384"
"2021-12-12";"0.3728024626265531"
"2021-12-11";"0.47754220212639426"
"2021-12-10";"0.7935366704479487"
"2021-12-09";"0.09231299074562267"
"2021-12-08";"0.7331781764988878"
"2021-12-07";"1.0296448967780991"
"2021-12-06";"0.6355394362871715"
"2021-12-05";"0.5059461992788935"
"2021-12-04";"0.8965011601257588"
"2021-12-03";"0.7740089224056055"
"2021-12-02";"1.0864528910830977"
"2021-12-01";"1.4273008569130892"
"2021-11-30";"1.8249568170480792"
"2021-11-29";"1.5054118490824622"
"2021-11-28";"1.2835056213285614"
"2021-11-27";"2.18000678145432"
"2021-11-26";"2.387711010631971"
"2021-11-25";"2.5971904896316533"
"2021-11-24";"2.6415717351824335"
"2021-11-23";"1.5551188440993358"
"2021-11-22";"1.5355910960569927"
"2021-11-21";"0.8201654177784169"
"2021-11-20";"2.405463508852283"
"2021-11-19";"2.2882970205982236"
"2021-11-18";"3.131540686063046"
"2021-11-17";"2.3131505181066605"
"2021-11-16";"1.8267320668701104"
"2021-11-15";"1.3953463601165272"
"2021-11-14";"0.9391071558545075"
"2021-11-13";"0.9621854035409133"
"2021-11-12";"1.762823073276987"
"2021-11-11";"1.67938633164152"
"2021-11-10";"1.677611081819489"
"2021-11-09";"1.235573876133719"
"2021-11-08";"1.027869646956068"
"2021-11-07";"0.701223679702326"
"2021-11-06";"1.0580488939305983"
"2021-11-05";"1.0793518917949727"
"2021-11-04";"1.1290588868118467"
"2021-11-03";"0.8769734120834154"
"2021-11-02";"0.7136504284565446"
"2021-11-01";"0.6000344398465474"
"2021-10-31";"0.3603757138723347"
"2021-10-30";"0.6071354391346723"
"2021-10-29";"0.734953426320919"
"2021-10-28";"0.6355394362871715"
"2021-10-27";"0.4615649537281134"
"2021-10-26";"0.5769561921601417"
"2021-10-25";"0.4455877053298325"
"2021-10-24";"0.21658047828780705"
"2021-10-23";"0.509496698922956"
"2021-10-22";"0.3674767131604595"
"2021-10-21";"0.3586004640503035"
