"Datum";"Salzburg"
"2022-09-19";"3.4823254455156296"
"2022-09-11";"3.4982787412066125"
"2022-09-10";"3.4996036522709257"
"2022-09-09";"3.5012072115469346"
"2022-09-08";"3.503224024122871"
"2022-09-07";"3.5053256247537155"
"2022-09-06";"3.507894233457424"
"2022-09-05";"3.510135811630564"
"2022-09-04";"3.5121422299746015"
"2022-09-03";"3.510374911577458"
"2022-09-02";"3.512321139985609"
"2022-09-01";"3.5142384193893896"
"2022-08-31";"3.516500388261798"
"2022-08-30";"3.518619732041302"
"2022-08-29";"3.520918572475936"
"2022-08-28";"3.5233663383910847"
"2022-08-27";"3.5248470642552094"
"2022-08-26";"3.526684058262834"
"2022-08-25";"3.5293803877873366"
"2022-08-24";"3.5318399373698917"
"2022-08-23";"3.534135116127941"
"2022-08-22";"3.536590797737295"
"2022-08-21";"3.537024322243722"
"2022-08-20";"3.5357755659768584"
"2022-08-19";"3.537690236391496"
"2022-08-18";"3.540692653583872"
"2022-08-17";"3.540751426135991"
"2022-08-16";"3.5412539678751283"
"2022-08-15";"3.5391093987993907"
"2022-08-14";"3.541298715270618"
"2022-08-13";"3.543098731361357"
"2022-08-12";"3.545420274418521"
"2022-08-11";"3.5477448617577054"
"2022-08-10";"3.5501575850539866"
"2022-08-09";"3.5538414476880535"
"2022-08-08";"3.5572125862286343"
"2022-08-07";"3.555061379652307"
"2022-08-06";"3.557038907931926"
"2022-08-05";"3.5596183415127327"
"2022-08-04";"3.562888137961775"
"2022-08-03";"3.565669504935574"
"2022-08-02";"3.557462524440582"
"2022-08-01";"3.5609222758491543"
"2022-07-31";"3.553380852871888"
"2022-07-30";"3.5533225381740037"
"2022-07-29";"3.5559701831597246"
"2022-07-28";"3.5562589247546543"
"2022-07-27";"3.560857884431492"
"2022-07-26";"3.5655988108591177"
"2022-07-25";"3.5722334224615215"
"2022-07-24";"3.569086222412031"
"2022-07-23";"3.5705231778572584"
"2022-07-22";"3.575076608784474"
"2022-07-21";"3.5815828819333806"
"2022-07-20";"3.5895010931243703"
"2022-07-19";"3.594410199754423"
"2022-07-18";"3.595745600227165"
"2022-07-17";"3.600515950223795"
"2022-07-16";"3.6053224967168025"
"2022-07-15";"3.611060268099509"
"2022-07-14";"3.6218017530267246"
"2022-07-13";"3.625820330158532"
"2022-07-12";"3.6350224883807427"
"2022-07-11";"3.645550891953144"
"2022-07-10";"3.6505522952611935"
"2022-07-09";"3.6546741773051656"
"2022-07-08";"3.6598771012009563"
"2022-07-07";"3.6594445215591755"
"2022-07-06";"3.6649032547755995"
"2022-07-05";"3.6723002731253525"
"2022-07-04";"3.6768791614937397"
"2022-07-03";"3.684506934700228"
"2022-07-02";"3.68929626195915"
"2022-07-01";"3.6940391351227198"
"2022-06-30";"3.7001179053114903"
"2022-06-29";"3.7056355741015112"
"2022-06-28";"3.71263321235749"
"2022-06-27";"3.719275030431892"
"2022-06-26";"3.723058507043885"
"2022-06-25";"3.7275325152306915"
"2022-06-24";"3.7319330251881286"
"2022-06-23";"3.737055962170787"
"2022-06-22";"3.7446152949895946"
"2022-06-21";"3.750320089981751"
"2022-06-20";"3.7583849014926343"
"2022-06-19";"3.760474678603029"
"2022-06-18";"3.761063387757494"
"2022-06-17";"3.7646307239498964"
"2022-06-16";"3.7701728730349404"
"2022-06-15";"3.773720529039678"
"2022-06-14";"3.775078592949043"
"2022-06-13";"3.779764829190004"
"2022-06-12";"3.7836809904457134"
"2022-06-11";"3.7829697460849707"
"2022-06-10";"3.7849815346737796"
"2022-06-09";"3.792023606497044"
"2022-06-08";"3.7955657004529026"
"2022-06-07";"3.7999525829140435"
"2022-06-06";"3.803522048232878"
"2022-06-05";"3.80532811886869"
"2022-06-04";"3.8071861463292325"
"2022-06-03";"3.808794552829697"
"2022-06-02";"3.8068761494091583"
"2022-06-01";"3.809542689675908"
"2022-05-31";"3.8119356897024836"
"2022-05-30";"3.810607514041692"
"2022-05-29";"3.8122846903015084"
"2022-05-28";"3.813029173645084"
"2022-05-27";"3.814733746816916"
"2022-05-26";"3.8161617098524547"
"2022-05-25";"3.8138976974131102"
"2022-05-24";"3.8161358557626635"
"2022-05-23";"3.81452771171458"
"2022-05-22";"3.8124120723064263"
"2022-05-21";"3.8101306994311357"
"2022-05-20";"3.8115854933977893"
"2022-05-19";"3.8135100569701197"
"2022-05-18";"3.8152210036556995"
"2022-05-17";"3.811107416029265"
"2022-05-16";"3.81369469144348"
"2022-05-15";"3.8155104160770827"
"2022-05-14";"3.813793608814693"
"2022-05-13";"3.816234160128519"
"2022-05-12";"3.818410407419388"
"2022-05-11";"3.8179403146463398"
"2022-05-10";"3.8200339558573853"
"2022-05-09";"3.8195896115189725"
"2022-05-08";"3.8243222878957854"
"2022-05-07";"3.8228425732655653"
"2022-05-06";"3.825226378975671"
"2022-05-05";"3.828576413821798"
"2022-05-04";"3.831996668413063"
"2022-05-03";"3.8358356473855135"
"2022-05-02";"3.8401087750355907"
"2022-05-01";"3.8357788247496973"
"2022-04-30";"3.8394768333586153"
"2022-04-29";"3.841769035139201"
"2022-04-28";"3.8455694920404477"
"2022-04-27";"3.839147817329562"
"2022-04-26";"3.8365637380445707"
"2022-04-25";"3.8276928496665166"
"2022-04-24";"3.833692388593917"
"2022-04-23";"3.834824276813227"
"2022-04-22";"3.8384064838498198"
"2022-04-21";"3.842975347143105"
"2022-04-20";"3.8472538098026665"
"2022-04-19";"3.854287468449417"
"2022-04-18";"3.197092558562128"
"2022-04-17";"3.193686485303571"
"2022-04-16";"3.1937398591057526"
