"Datum";"Oberösterreich"
"2022-09-19";"3.8971107627104042"
"2022-09-11";"3.9179166989212155"
"2022-09-10";"3.920140574784398"
"2022-09-09";"3.9228071149610377"
"2022-09-08";"3.9258453997219145"
"2022-09-07";"3.929339103934553"
"2022-09-06";"3.9326109823177466"
"2022-09-05";"3.931816018406518"
"2022-09-04";"3.9340035193477014"
"2022-09-03";"3.933745727789444"
"2022-09-02";"3.9359000595326687"
"2022-09-01";"3.9388082574177012"
"2022-08-31";"3.9415601125760804"
"2022-08-30";"3.945088103082763"
"2022-08-29";"3.948381676895433"
"2022-08-28";"3.950751039640603"
"2022-08-27";"3.9491158582523203"
"2022-08-26";"3.9516868010621984"
"2022-08-25";"3.9545252990171016"
"2022-08-24";"3.9557629071695573"
"2022-08-23";"3.9596486251415413"
"2022-08-22";"3.961353337228977"
"2022-08-21";"3.9635578097116557"
"2022-08-20";"3.9642175045750006"
"2022-08-19";"3.966136202806623"
"2022-08-18";"3.9698788092716786"
"2022-08-17";"3.9737735655725634"
"2022-08-16";"3.9786750563960096"
"2022-08-15";"3.98054219398328"
"2022-08-14";"3.982487915575507"
"2022-08-13";"3.9832730880997946"
"2022-08-12";"3.9858532941209845"
"2022-08-11";"3.9880889707039313"
"2022-08-10";"3.988993267611838"
"2022-08-09";"3.9889267582800447"
"2022-08-08";"3.991509144044358"
"2022-08-07";"3.989034902868187"
"2022-08-06";"3.9914753490759023"
"2022-08-05";"3.992981671988265"
"2022-08-04";"3.9954168119239037"
"2022-08-03";"3.996446544550376"
"2022-08-02";"4.001912143901942"
"2022-08-01";"4.006441823623442"
"2022-07-31";"4.009610640044254"
"2022-07-30";"4.008507168808004"
"2022-07-29";"4.010383194447935"
"2022-07-28";"4.012633385013911"
"2022-07-27";"4.014527165247104"
"2022-07-26";"4.019746629781936"
"2022-07-25";"4.022792612996511"
"2022-07-24";"4.028226531057747"
"2022-07-23";"4.034011304893956"
"2022-07-22";"4.03880347876574"
"2022-07-21";"4.0467429718291426"
"2022-07-20";"4.053097151657737"
"2022-07-19";"4.06015110823255"
"2022-07-18";"4.069373477647748"
"2022-07-17";"4.07324003615765"
"2022-07-16";"4.07749818723421"
"2022-07-15";"4.085489700368787"
"2022-07-14";"4.096615646635213"
"2022-07-13";"4.1073512827915675"
"2022-07-12";"4.118566209446845"
"2022-07-11";"4.1321339511467325"
"2022-07-10";"4.132457376653916"
"2022-07-09";"4.135440337903931"
"2022-07-08";"4.14101902475387"
"2022-07-07";"4.149512391685982"
"2022-07-06";"4.158897172175338"
"2022-07-05";"4.168314035583169"
"2022-07-04";"4.175825005378624"
"2022-07-03";"4.178871314196447"
"2022-07-02";"4.1832400430434715"
"2022-07-01";"4.189592980283896"
"2022-06-30";"4.197105706291227"
"2022-06-29";"4.205054437378938"
"2022-06-28";"4.212942311284967"
"2022-06-27";"4.221908073205212"
"2022-06-26";"4.2253431338174074"
"2022-06-25";"4.229824731583542"
"2022-06-24";"4.2348352899533195"
"2022-06-23";"4.2403523344976275"
"2022-06-22";"4.246744440328305"
"2022-06-21";"4.253663697362035"
"2022-06-20";"4.261929931505616"
"2022-06-19";"4.26477933339169"
"2022-06-18";"4.266965470164728"
"2022-06-17";"4.271112475207688"
"2022-06-16";"4.272693358737142"
"2022-06-15";"4.273090252884788"
"2022-06-14";"4.278047203362431"
"2022-06-13";"4.282921397775677"
"2022-06-12";"4.285268289144202"
"2022-06-11";"4.286512129352112"
"2022-06-10";"4.289519205583118"
"2022-06-09";"4.293087583918313"
"2022-06-08";"4.295858418479983"
"2022-06-07";"4.299197084655713"
"2022-06-06";"4.301388459067893"
"2022-06-05";"4.30242902552844"
"2022-06-04";"4.304024418963209"
"2022-06-03";"4.305441672198143"
"2022-06-02";"4.3075440618265395"
"2022-06-01";"4.310350443999974"
"2022-05-31";"4.312350817821428"
"2022-05-30";"4.314915808270603"
"2022-05-29";"4.314624450234389"
"2022-05-28";"4.315632324307959"
"2022-05-27";"4.317006944807059"
"2022-05-26";"4.318027208663736"
"2022-05-25";"4.316255501430046"
"2022-05-24";"4.318483238927762"
"2022-05-23";"4.319857748025731"
"2022-05-22";"4.3196854986470745"
"2022-05-21";"4.320894790201786"
"2022-05-20";"4.322280091078018"
"2022-05-19";"4.324532392750811"
"2022-05-18";"4.325941763548372"
"2022-05-17";"4.326144068463196"
"2022-05-16";"4.329282611633176"
"2022-05-15";"4.329549734701885"
"2022-05-14";"4.330146775957576"
"2022-05-13";"4.332877448410774"
"2022-05-12";"4.3363868614578305"
"2022-05-11";"4.337526977943886"
"2022-05-10";"4.3427577895007206"
"2022-05-09";"4.345659219099805"
"2022-05-08";"4.348313643229837"
"2022-05-07";"4.348273759078704"
"2022-05-06";"4.351599747940124"
"2022-05-05";"4.356082646551633"
"2022-05-04";"4.359147126841518"
"2022-05-03";"4.360667337130863"
"2022-05-02";"4.361666695417132"
"2022-05-01";"4.363756123667202"
"2022-04-30";"4.365117858182171"
"2022-04-29";"4.368804211075085"
"2022-04-28";"4.371137973778498"
"2022-04-27";"4.3749383482941475"
"2022-04-26";"4.376423104951404"
"2022-04-25";"4.383760167275411"
"2022-04-24";"4.382859872943903"
"2022-04-23";"4.38348605668398"
"2022-04-22";"4.384500589292969"
"2022-04-21";"4.386648047693217"
"2022-04-20";"4.386071097123027"
"2022-04-19";"4.393509630939798"
"2022-04-18";"3.747735293244086"
"2022-04-17";"3.741492462291188"
"2022-04-16";"3.744766053587494"
"2022-04-15";"3.749317412849034"
"2022-04-14";"3.7542736261259426"
"2022-04-13";"3.7606823652025314"
"2022-04-12";"3.7672974583354355"
"2022-04-11";"3.7623537678906622"
"2022-04-10";"3.760583061621503"
"2022-04-09";"3.7628085756905"
"2022-04-08";"3.7686541503335396"
"2022-04-07";"3.775411957172455"
"2022-04-06";"3.77911684946241"
"2022-04-05";"3.7862688723141242"
"2022-04-04";"3.8005400620484937"
"2022-04-03";"3.7992580667739904"
"2022-04-02";"3.8000875971429853"
"2022-04-01";"3.807968004055824"
"2022-03-31";"3.8219841205828207"
"2022-03-30";"3.8281473388614566"
"2022-03-29";"3.8383951184662455"
"2022-03-28";"3.8676953561659264"
"2022-03-27";"3.877605810603917"
"2022-03-26";"3.88986358474648"
"2022-03-25";"3.8797113142081203"
"2022-03-24";"3.9146171418399742"
"2022-03-23";"3.9532147968320337"
"2022-03-22";"3.9852340416511467"
"2022-03-21";"4.005675347938223"
"2022-03-20";"4.032426981110119"
"2022-03-19";"4.051867665093638"
"2022-03-18";"4.093671819492334"
"2022-03-17";"4.139801994151429"
"2022-03-16";"4.196129982293504"
"2022-03-15";"4.253272192889944"
"2022-03-14";"4.322771423567609"
"2022-03-13";"4.353743350576837"
"2022-03-12";"4.403138700591737"
"2022-03-11";"4.449924847648854"
"2022-03-10";"4.512458308809104"
"2022-03-09";"4.581465530396193"
"2022-03-08";"4.626389010412109"
"2022-03-07";"4.698236493959542"
"2022-03-06";"4.736057797480709"
"2022-03-05";"4.762416704860306"
"2022-03-04";"4.784525152524574"
"2022-03-03";"4.825127543180281"
"2022-03-02";"4.868755292125318"
"2022-03-01";"4.911581725386701"
"2022-02-28";"4.974420961867419"
"2022-02-27";"5.000180656868374"
"2022-02-26";"5.033278711739596"
"2022-02-25";"5.07806996588076"
"2022-02-24";"5.126364365888326"
"2022-02-23";"5.168664424618605"
"2022-02-22";"5.215530315796569"
"2022-02-21";"5.273321766413587"
"2022-02-20";"5.301396177414335"
"2022-02-19";"5.300578972999297"
"2022-02-18";"5.341453565152855"
"2022-02-17";"5.384825543990764"
"2022-02-16";"5.449062096091899"
"2022-02-15";"5.514992685116303"
"2022-02-14";"5.599227692732037"
"2022-02-13";"5.639363733161361"
"2022-02-12";"5.684426498280853"
"2022-02-11";"5.749892708187611"
"2022-02-10";"5.811064785811497"
"2022-02-09";"5.889766774011892"
"2022-02-08";"5.989569118238164"
"2022-02-07";"6.106564239432117"
"2022-02-06";"6.180803273127255"
"2022-02-05";"6.263102384145627"
"2022-02-04";"6.351202474961098"
"2022-02-03";"6.441465460186974"
"2022-02-02";"6.53824848073045"
"2022-02-01";"6.642553982895354"
"2022-01-31";"6.77764397534887"
"2022-01-30";"6.848097782466118"
"2022-01-29";"6.947736387351571"
"2022-01-28";"7.03891150366831"
"2022-01-27";"7.158451591233521"
"2022-01-26";"7.297327067117051"
"2022-01-25";"7.434098354523891"
"2022-01-24";"7.5459982766485885"
"2022-01-23";"7.625289796284835"
"2022-01-22";"7.7244408063562595"
"2022-01-21";"7.8136556534773565"
"2022-01-20";"7.916094726601543"
"2022-01-19";"8.044003237922988"
"2022-01-18";"8.157778938973076"
"2022-01-17";"8.253937322968355"
"2022-01-16";"8.333772507685552"
"2022-01-15";"8.405058626346953"
"2022-01-14";"8.471337807094924"
"2022-01-13";"8.553761346090019"
"2022-01-12";"8.615550159224092"
"2022-01-11";"8.680390159537437"
"2022-01-10";"8.743911940535492"
"2022-01-09";"8.789323589697888"
"2022-01-08";"8.83277459625335"
"2022-01-07";"8.873087842069538"
"2022-01-06";"8.88146258119388"
"2022-01-05";"8.92273141444197"
"2022-01-04";"8.954101684874859"
"2022-01-03";"8.985311664894002"
"2022-01-02";"8.997783044109777"
"2022-01-01";"9.001044764124407"
"2021-12-31";"9.014153600870754"
"2021-12-30";"9.016305349137136"
"2021-12-29";"9.029553713923127"
"2021-12-28";"9.020077568045355"
"2021-12-27";"9.034029979710077"
"2021-12-26";"9.038064154805818"
"2021-12-25";"9.025200989486704"
"2021-12-24";"9.029083397163614"
"2021-12-23";"9.03395186022738"
"2021-12-22";"9.036179607152963"
"2021-12-21";"9.015477280842013"
"2021-12-20";"9.017377886435455"
"2021-12-19";"9.019976973581853"
"2021-12-18";"9.015920987038884"
"2021-12-17";"8.999313743839291"
"2021-12-16";"8.999652507994268"
"2021-12-15";"8.97013605814745"
"2021-12-14";"8.964584599102366"
"2021-12-13";"8.956796628029505"
"2021-12-12";"8.910984699264116"
"2021-12-11";"8.937567416995602"
"2021-12-10";"8.950469315223723"
"2021-12-09";"8.93347228077991"
"2021-12-08";"8.837609424659279"
"2021-12-07";"8.85903465692719"
"2021-12-06";"8.834283925295914"
"2021-12-05";"8.774541358223367"
"2021-12-04";"8.76714982865308"
"2021-12-03";"8.63211389527179"
"2021-12-02";"8.462290275289135"
"2021-12-01";"8.37409765410552"
"2021-11-30";"8.287942075119268"
"2021-11-29";"8.350122379660002"
"2021-11-28";"8.312200029342108"
"2021-11-27";"8.348034540098421"
"2021-11-26";"8.360755533040736"
