"Datum";"Burgenland"
"2022-09-19";"2.0740339961224583"
"2022-09-11";"2.0807136547251073"
"2022-09-10";"2.0807136547251073"
"2022-09-09";"2.0807136547251073"
"2022-09-08";"2.0807136547251073"
"2022-09-07";"2.0807136547251073"
"2022-09-06";"2.0807136547251073"
"2022-09-05";"2.0807136547251073"
"2022-09-04";"2.0807136547251073"
"2022-09-03";"2.0807136547251073"
"2022-09-02";"2.0807136547251073"
"2022-09-01";"2.0807136547251073"
"2022-08-31";"2.0807136547251073"
"2022-08-30";"2.077373825423783"
"2022-08-29";"2.077373825423783"
"2022-08-28";"2.077373825423783"
"2022-08-27";"2.077373825423783"
"2022-08-26";"2.0740339961224583"
"2022-08-25";"2.0740339961224583"
"2022-08-24";"2.0740339961224583"
"2022-08-23";"2.0740339961224583"
"2022-08-22";"2.0740339961224583"
"2022-08-21";"2.0740339961224583"
"2022-08-20";"2.0740339961224583"
"2022-08-19";"2.0740339961224583"
"2022-08-18";"2.0740339961224583"
"2022-08-17";"2.0740339961224583"
"2022-08-16";"2.0740339961224583"
"2022-08-15";"2.070694166821134"
"2022-08-14";"2.070694166821134"
"2022-08-13";"2.070694166821134"
"2022-08-12";"2.070694166821134"
"2022-08-11";"2.070694166821134"
"2022-08-10";"2.070694166821134"
"2022-08-09";"2.070694166821134"
"2022-08-08";"2.064014508218485"
"2022-08-07";"2.064014508218485"
"2022-08-06";"2.064014508218485"
"2022-08-05";"2.064014508218485"
"2022-08-04";"2.0606746789171604"
"2022-08-03";"2.0606746789171604"
"2022-08-02";"2.0606746789171604"
"2022-08-01";"2.057334849615836"
"2022-07-31";"2.053995020314512"
"2022-07-30";"2.0506551910131874"
"2022-07-29";"2.0506551910131874"
"2022-07-28";"2.0506551910131874"
"2022-07-27";"2.0506551910131874"
"2022-07-26";"2.0506551910131874"
"2022-07-25";"2.0506551910131874"
"2022-07-24";"2.047315361711863"
"2022-07-23";"2.0439755324105384"
"2022-07-22";"2.0439755324105384"
"2022-07-21";"2.0439755324105384"
"2022-07-20";"2.040635703109214"
"2022-07-19";"2.040635703109214"
"2022-07-18";"2.030616215205241"
"2022-07-17";"2.0272763859039165"
"2022-07-16";"2.0272763859039165"
"2022-07-15";"2.0272763859039165"
"2022-07-14";"2.0272763859039165"
"2022-07-13";"2.0272763859039165"
"2022-07-12";"2.0272763859039165"
"2022-07-11";"2.0272763859039165"
"2022-07-10";"2.023936556602592"
"2022-07-09";"2.020596727301268"
"2022-07-08";"2.020596727301268"
"2022-07-07";"2.020596727301268"
"2022-07-06";"2.0172568979999435"
"2022-07-05";"2.0172568979999435"
"2022-07-04";"2.013917068698619"
"2022-07-03";"2.013917068698619"
"2022-07-02";"2.013917068698619"
"2022-07-01";"2.013917068698619"
"2022-06-30";"2.013917068698619"
"2022-06-29";"2.013917068698619"
"2022-06-28";"2.013917068698619"
"2022-06-27";"2.0105772393972945"
"2022-06-26";"2.0105772393972945"
"2022-06-25";"2.0105772393972945"
"2022-06-24";"2.0105772393972945"
"2022-06-23";"2.0105772393972945"
"2022-06-22";"2.0105772393972945"
"2022-06-21";"2.0105772393972945"
"2022-06-20";"2.0105772393972945"
"2022-06-19";"2.0105772393972945"
"2022-06-18";"2.0105772393972945"
"2022-06-17";"2.0105772393972945"
"2022-06-16";"2.0105772393972945"
"2022-06-15";"2.0105772393972945"
"2022-06-14";"2.0105772393972945"
"2022-06-13";"2.0105772393972945"
"2022-06-12";"2.0105772393972945"
"2022-06-11";"2.0105772393972945"
"2022-06-10";"2.0105772393972945"
"2022-06-09";"2.00723741009597"
"2022-06-08";"2.00723741009597"
"2022-06-07";"2.00723741009597"
"2022-06-06";"2.0038975807946455"
"2022-06-05";"2.0038975807946455"
"2022-06-04";"2.0038975807946455"
"2022-06-03";"2.0038975807946455"
"2022-06-02";"2.0038975807946455"
"2022-06-01";"2.0038975807946455"
"2022-05-31";"2.0038975807946455"
"2022-05-30";"2.0038975807946455"
"2022-05-29";"2.0038975807946455"
"2022-05-28";"2.0038975807946455"
"2022-05-27";"2.0038975807946455"
"2022-05-26";"2.0038975807946455"
"2022-05-25";"2.0038975807946455"
"2022-05-24";"2.0038975807946455"
"2022-05-23";"2.0038975807946455"
"2022-05-22";"2.0038975807946455"
"2022-05-21";"2.0038975807946455"
"2022-05-20";"2.0038975807946455"
"2022-05-19";"2.0038975807946455"
"2022-05-18";"2.0038975807946455"
"2022-05-17";"2.000557751493321"
"2022-05-16";"2.000557751493321"
"2022-05-15";"2.000557751493321"
"2022-05-14";"2.000557751493321"
"2022-05-13";"2.000557751493321"
"2022-05-12";"2.000557751493321"
"2022-05-11";"2.000557751493321"
"2022-05-10";"2.000557751493321"
"2022-05-09";"1.9972179221919968"
"2022-05-08";"1.9972179221919968"
"2022-05-07";"1.9972179221919968"
"2022-05-06";"1.9972179221919968"
"2022-05-05";"1.9938780928906723"
"2022-05-04";"1.9938780928906723"
"2022-05-03";"1.9938780928906723"
"2022-05-02";"1.9938780928906723"
"2022-05-01";"1.9938780928906723"
"2022-04-30";"1.9905382635893478"
"2022-04-29";"1.9871984342880233"
"2022-04-28";"1.9871984342880233"
"2022-04-27";"1.9871984342880233"
"2022-04-26";"1.9805187756853746"
"2022-04-25";"1.9771789463840501"
"2022-04-24";"1.9771789463840501"
"2022-04-23";"1.9738391170827256"
"2022-04-22";"1.9738391170827256"
"2022-04-21";"1.9704992877814016"
"2022-04-20";"1.9671594584800773"
"2022-04-19";"1.9671594584800773"
"2022-04-18";"1.5763994302251212"
