"Datum";"Vorarlberg"
"2022-09-19";"1.6359989060340143"
"2022-09-11";"1.6409489783669464"
"2022-09-10";"1.6409489783669464"
"2022-09-09";"1.6409489783669464"
"2022-09-08";"1.6409489783669464"
"2022-09-07";"1.6409489783669464"
"2022-09-06";"1.6409489783669464"
"2022-09-05";"1.6409489783669464"
"2022-09-04";"1.6409489783669464"
"2022-09-03";"1.6409489783669464"
"2022-09-02";"1.6409489783669464"
"2022-09-01";"1.6409489783669464"
"2022-08-31";"1.6409489783669464"
"2022-08-30";"1.6409489783669464"
"2022-08-29";"1.6409489783669464"
"2022-08-28";"1.6409489783669464"
"2022-08-27";"1.6409489783669464"
"2022-08-26";"1.6409489783669464"
"2022-08-25";"1.6409489783669464"
"2022-08-24";"1.6409489783669464"
"2022-08-23";"1.6409489783669464"
"2022-08-22";"1.6409489783669464"
"2022-08-21";"1.6384739422004806"
"2022-08-20";"1.6384739422004806"
"2022-08-19";"1.6384739422004806"
"2022-08-18";"1.6335238698675485"
"2022-08-17";"1.6335238698675485"
"2022-08-16";"1.6310488337010824"
"2022-08-15";"1.6310488337010824"
"2022-08-14";"1.6310488337010824"
"2022-08-13";"1.6310488337010824"
"2022-08-12";"1.6310488337010824"
"2022-08-11";"1.6310488337010824"
"2022-08-10";"1.6335238698675485"
"2022-08-09";"1.6310488337010824"
"2022-08-08";"1.6310488337010824"
"2022-08-07";"1.6260987613681506"
"2022-08-06";"1.6211486890352187"
"2022-08-05";"1.6211486890352187"
"2022-08-04";"1.6211486890352187"
"2022-08-03";"1.6186736528687524"
"2022-08-02";"1.6112485443693545"
"2022-08-01";"1.6112485443693545"
"2022-07-31";"1.6062984720364226"
"2022-07-30";"1.6062984720364226"
"2022-07-29";"1.6062984720364226"
"2022-07-28";"1.6062984720364226"
"2022-07-27";"1.6062984720364226"
"2022-07-26";"1.6062984720364226"
"2022-07-25";"1.6062984720364226"
"2022-07-24";"1.6062984720364226"
"2022-07-23";"1.5988733635370247"
"2022-07-22";"1.5988733635370247"
"2022-07-21";"1.5988733635370247"
"2022-07-20";"1.5914482550376268"
"2022-07-19";"1.5914482550376268"
"2022-07-18";"1.5914482550376268"
"2022-07-17";"1.5914482550376268"
"2022-07-16";"1.5914482550376268"
"2022-07-15";"1.5914482550376268"
"2022-07-14";"1.5914482550376268"
"2022-07-13";"1.5914482550376268"
"2022-07-12";"1.5889732188711607"
"2022-07-11";"1.5889732188711607"
"2022-07-10";"1.5864981827046947"
"2022-07-09";"1.5864981827046947"
"2022-07-08";"1.5864981827046947"
"2022-07-07";"1.5864981827046947"
"2022-07-06";"1.5864981827046947"
"2022-07-05";"1.5864981827046947"
"2022-07-04";"1.5840231465382288"
"2022-07-03";"1.5815481103717628"
"2022-07-02";"1.5815481103717628"
"2022-07-01";"1.5815481103717628"
"2022-06-30";"1.5815481103717628"
"2022-06-29";"1.5815481103717628"
"2022-06-28";"1.5815481103717628"
"2022-06-27";"1.5815481103717628"
"2022-06-26";"1.5815481103717628"
"2022-06-25";"1.579073074205297"
"2022-06-24";"1.579073074205297"
"2022-06-23";"1.579073074205297"
"2022-06-22";"1.579073074205297"
"2022-06-21";"1.579073074205297"
"2022-06-20";"1.579073074205297"
"2022-06-19";"1.579073074205297"
"2022-06-18";"1.579073074205297"
"2022-06-17";"1.579073074205297"
"2022-06-16";"1.579073074205297"
"2022-06-15";"1.579073074205297"
"2022-06-14";"1.579073074205297"
"2022-06-13";"1.579073074205297"
"2022-06-12";"1.579073074205297"
"2022-06-11";"1.579073074205297"
"2022-06-10";"1.579073074205297"
"2022-06-09";"1.579073074205297"
"2022-06-08";"1.579073074205297"
"2022-06-07";"1.579073074205297"
"2022-06-06";"1.579073074205297"
"2022-06-05";"1.579073074205297"
"2022-06-04";"1.579073074205297"
"2022-06-03";"1.579073074205297"
"2022-06-02";"1.579073074205297"
"2022-06-01";"1.579073074205297"
"2022-05-31";"1.579073074205297"
"2022-05-30";"1.5765980380388307"
"2022-05-29";"1.5765980380388307"
"2022-05-28";"1.5765980380388307"
"2022-05-27";"1.5765980380388307"
"2022-05-26";"1.5765980380388307"
"2022-05-25";"1.5765980380388307"
"2022-05-24";"1.5765980380388307"
"2022-05-23";"1.5765980380388307"
"2022-05-22";"1.5765980380388307"
"2022-05-21";"1.5765980380388307"
"2022-05-20";"1.5765980380388307"
"2022-05-19";"1.5765980380388307"
"2022-05-18";"1.5765980380388307"
"2022-05-17";"1.5765980380388307"
"2022-05-16";"1.5765980380388307"
"2022-05-15";"1.5765980380388307"
"2022-05-14";"1.5765980380388307"
"2022-05-13";"1.5765980380388307"
"2022-05-12";"1.5765980380388307"
"2022-05-11";"1.5765980380388307"
"2022-05-10";"1.5765980380388307"
"2022-05-09";"1.5765980380388307"
"2022-05-08";"1.5691729295394328"
"2022-05-07";"1.5691729295394328"
"2022-05-06";"1.5691729295394328"
"2022-05-05";"1.566697893372967"
"2022-05-04";"1.566697893372967"
"2022-05-03";"1.566697893372967"
"2022-05-02";"1.566697893372967"
"2022-05-01";"1.566697893372967"
"2022-04-30";"1.566697893372967"
"2022-04-29";"1.566697893372967"
"2022-04-28";"1.566697893372967"
"2022-04-27";"1.564222857206501"
"2022-04-26";"1.561747821040035"
"2022-04-25";"1.559272784873569"
"2022-04-24";"1.556797748707103"
"2022-04-23";"1.556797748707103"
"2022-04-22";"1.556797748707103"
"2022-04-21";"1.5543227125406371"
"2022-04-20";"1.5543227125406371"
"2022-04-19";"1.549372640207705"
"2022-04-18";"1.3142442043934366"
