"Datum";"Salzburg"
"2022-09-19";"2.1079586047860563"
"2022-09-11";"2.1079586047860563"
"2022-09-10";"2.1079586047860563"
"2022-09-09";"2.1079586047860563"
"2022-09-08";"2.1079586047860563"
"2022-09-07";"2.1079586047860563"
"2022-09-06";"2.1079586047860563"
"2022-09-05";"2.1079586047860563"
"2022-09-04";"2.1079586047860563"
"2022-09-03";"2.1061901831377456"
"2022-09-02";"2.1061901831377456"
"2022-09-01";"2.1061901831377456"
"2022-08-31";"2.1061901831377456"
"2022-08-30";"2.1061901831377456"
"2022-08-29";"2.1061901831377456"
"2022-08-28";"2.1061901831377456"
"2022-08-27";"2.1061901831377456"
"2022-08-26";"2.1061901831377456"
"2022-08-25";"2.1061901831377456"
"2022-08-24";"2.1061901831377456"
"2022-08-23";"2.1061901831377456"
"2022-08-22";"2.1061901831377456"
"2022-08-21";"2.1044217614894354"
"2022-08-20";"2.102653339841125"
"2022-08-19";"2.102653339841125"
"2022-08-18";"2.102653339841125"
"2022-08-17";"2.100884918192815"
"2022-08-16";"2.099116496544504"
"2022-08-15";"2.095579653247883"
"2022-08-14";"2.095579653247883"
"2022-08-13";"2.095579653247883"
"2022-08-12";"2.095579653247883"
"2022-08-11";"2.095579653247883"
"2022-08-10";"2.095579653247883"
"2022-08-09";"2.095579653247883"
"2022-08-08";"2.095579653247883"
"2022-08-07";"2.0920428099512622"
"2022-08-06";"2.0920428099512622"
"2022-08-05";"2.0920428099512622"
"2022-08-04";"2.0920428099512622"
"2022-08-03";"2.0920428099512622"
"2022-08-02";"2.0849691233580203"
"2022-08-01";"2.0849691233580203"
"2022-07-31";"2.0778954367647784"
"2022-07-30";"2.076127015116468"
"2022-07-29";"2.076127015116468"
"2022-07-28";"2.074358593468158"
"2022-07-27";"2.074358593468158"
"2022-07-26";"2.074358593468158"
"2022-07-25";"2.074358593468158"
"2022-07-24";"2.069053328523226"
"2022-07-23";"2.067284906874916"
"2022-07-22";"2.067284906874916"
"2022-07-21";"2.067284906874916"
"2022-07-20";"2.067284906874916"
"2022-07-19";"2.0655164852266057"
"2022-07-18";"2.060211220281674"
"2022-07-17";"2.0584427986333638"
"2022-07-16";"2.0584427986333638"
"2022-07-15";"2.0584427986333638"
"2022-07-14";"2.0584427986333638"
"2022-07-13";"2.0566743769850535"
"2022-07-12";"2.0566743769850535"
"2022-07-11";"2.0566743769850535"
"2022-07-10";"2.054905955336743"
"2022-07-09";"2.054905955336743"
"2022-07-08";"2.054905955336743"
"2022-07-07";"2.051369112040122"
"2022-07-06";"2.0496006903918116"
"2022-07-05";"2.0496006903918116"
"2022-07-04";"2.047832268743501"
"2022-07-03";"2.047832268743501"
"2022-07-02";"2.047832268743501"
"2022-07-01";"2.047832268743501"
"2022-06-30";"2.047832268743501"
"2022-06-29";"2.047832268743501"
"2022-06-28";"2.047832268743501"
"2022-06-27";"2.047832268743501"
"2022-06-26";"2.0460638470951906"
"2022-06-25";"2.0460638470951906"
"2022-06-24";"2.0460638470951906"
"2022-06-23";"2.0460638470951906"
"2022-06-22";"2.0460638470951906"
"2022-06-21";"2.0460638470951906"
"2022-06-20";"2.0460638470951906"
"2022-06-19";"2.0442954254468804"
"2022-06-18";"2.0425270037985697"
"2022-06-17";"2.0425270037985697"
"2022-06-16";"2.0425270037985697"
"2022-06-15";"2.0425270037985697"
"2022-06-14";"2.040758582150259"
"2022-06-13";"2.040758582150259"
"2022-06-12";"2.040758582150259"
"2022-06-11";"2.0389901605019487"
"2022-06-10";"2.0389901605019487"
"2022-06-09";"2.040758582150259"
"2022-06-08";"2.040758582150259"
"2022-06-07";"2.040758582150259"
"2022-06-06";"2.040758582150259"
"2022-06-05";"2.040758582150259"
"2022-06-04";"2.040758582150259"
"2022-06-03";"2.040758582150259"
"2022-06-02";"2.0389901605019487"
"2022-06-01";"2.0389901605019487"
"2022-05-31";"2.0389901605019487"
"2022-05-30";"2.0372217388536384"
"2022-05-29";"2.0372217388536384"
"2022-05-28";"2.0372217388536384"
"2022-05-27";"2.0372217388536384"
"2022-05-26";"2.0372217388536384"
"2022-05-25";"2.035453317205328"
"2022-05-24";"2.035453317205328"
"2022-05-23";"2.0336848955570175"
"2022-05-22";"2.0319164739087068"
"2022-05-21";"2.0301480522603965"
"2022-05-20";"2.0301480522603965"
"2022-05-19";"2.0301480522603965"
"2022-05-18";"2.0301480522603965"
"2022-05-17";"2.0266112089637756"
"2022-05-16";"2.0266112089637756"
"2022-05-15";"2.0266112089637756"
"2022-05-14";"2.0248427873154653"
"2022-05-13";"2.0248427873154653"
"2022-05-12";"2.0248427873154653"
"2022-05-11";"2.0230743656671546"
"2022-05-10";"2.0213059440188443"
"2022-05-09";"2.019537522370534"
"2022-05-08";"2.019537522370534"
"2022-05-07";"2.0177691007222234"
"2022-05-06";"2.0177691007222234"
"2022-05-05";"2.0177691007222234"
"2022-05-04";"2.0177691007222234"
"2022-05-03";"2.0177691007222234"
"2022-05-02";"2.0177691007222234"
"2022-05-01";"2.0142322574256024"
"2022-04-30";"2.0142322574256024"
"2022-04-29";"2.0142322574256024"
"2022-04-28";"2.0142322574256024"
"2022-04-27";"2.008926992480671"
"2022-04-26";"2.0053901491840502"
"2022-04-25";"1.9983164625908085"
"2022-04-24";"1.9983164625908085"
"2022-04-23";"1.9983164625908085"
"2022-04-22";"1.9983164625908085"
"2022-04-21";"1.9983164625908085"
"2022-04-20";"1.9983164625908085"
"2022-04-19";"1.9983164625908085"
"2022-04-18";"1.6552426628185812"
"2022-04-17";"1.6517058195219603"
