"Datum";"Steiermark"
"2022-07-12";"2.712340952774292"
"2022-07-11";"2.711546709449907"
"2022-07-10";"2.711546709449907"
"2022-07-09";"2.7099582228011374"
"2022-07-08";"2.7099582228011374"
"2022-07-07";"2.7091639794767524"
"2022-07-06";"2.7083697361523678"
"2022-07-05";"2.7075754928279827"
"2022-07-04";"2.706781249503598"
"2022-07-03";"2.706781249503598"
"2022-07-02";"2.705987006179213"
"2022-07-01";"2.705987006179213"
"2022-06-30";"2.705987006179213"
"2022-06-29";"2.705987006179213"
"2022-06-28";"2.7051927628548285"
"2022-06-27";"2.7051927628548285"
"2022-06-26";"2.7051927628548285"
"2022-06-25";"2.7036042762060584"
"2022-06-24";"2.7036042762060584"
"2022-06-23";"2.7036042762060584"
"2022-06-22";"2.7036042762060584"
"2022-06-21";"2.7028100328816733"
"2022-06-20";"2.7020157895572887"
"2022-06-19";"2.7020157895572887"
"2022-06-18";"2.7012215462329037"
"2022-06-17";"2.7012215462329037"
"2022-06-16";"2.7012215462329037"
"2022-06-15";"2.7012215462329037"
"2022-06-14";"2.7012215462329037"
"2022-06-13";"2.700427302908519"
"2022-06-12";"2.700427302908519"
"2022-06-11";"2.6996330595841345"
"2022-06-10";"2.6996330595841345"
"2022-06-09";"2.6996330595841345"
"2022-06-08";"2.6996330595841345"
"2022-06-07";"2.6996330595841345"
"2022-06-06";"2.6988388162597494"
"2022-06-05";"2.698044572935365"
"2022-06-04";"2.6972503296109798"
"2022-06-03";"2.6972503296109798"
"2022-06-02";"2.6972503296109798"
"2022-06-01";"2.694867599637825"
"2022-05-31";"2.694867599637825"
"2022-05-30";"2.69407335631344"
"2022-05-29";"2.69407335631344"
"2022-05-28";"2.69407335631344"
"2022-05-27";"2.69407335631344"
"2022-05-26";"2.6932791129890554"
"2022-05-25";"2.6932791129890554"
"2022-05-24";"2.6932791129890554"
"2022-05-23";"2.6924848696646704"
"2022-05-22";"2.6924848696646704"
"2022-05-21";"2.6924848696646704"
"2022-05-20";"2.6924848696646704"
"2022-05-19";"2.6924848696646704"
"2022-05-18";"2.6893078963671306"
"2022-05-17";"2.6893078963671306"
"2022-05-16";"2.688513653042746"
"2022-05-15";"2.687719409718361"
"2022-05-14";"2.6869251663939764"
"2022-05-13";"2.6869251663939764"
"2022-05-12";"2.686130923069592"
"2022-05-11";"2.686130923069592"
"2022-05-10";"2.683748193096437"
"2022-05-09";"2.683748193096437"
"2022-05-08";"2.6829539497720525"
"2022-05-07";"2.6829539497720525"
"2022-05-06";"2.6829539497720525"
"2022-05-05";"2.6821597064476674"
"2022-05-04";"2.6805712197988973"
"2022-05-03";"2.678188489825743"
"2022-05-02";"2.6758057598525884"
"2022-05-01";"2.6734230298794337"
"2022-04-30";"2.671834543230664"
"2022-04-29";"2.6710402999062794"
"2022-04-28";"2.6702460565818944"
"2022-04-27";"2.66627483995997"
"2022-04-26";"2.665480596635585"
"2022-04-25";"2.661509380013661"
"2022-04-24";"2.6599208933648915"
"2022-04-23";"2.6591266500405064"
"2022-04-22";"2.6583324067161214"
"2022-04-21";"2.655155433418582"
"2022-04-20";"2.6535669467698124"
"2022-04-19";"2.6503899734722727"
"2022-04-18";"2.2929804774990865"
"2022-04-17";"2.289803504201547"
"2022-04-16";"2.2882150175527776"
"2022-04-15";"2.2882150175527776"
"2022-04-14";"2.2858322875796233"
"2022-04-13";"2.2858322875796233"
"2022-04-12";"2.277095611011389"
"2022-04-11";"2.2755071243626195"
"2022-04-10";"2.266770447794386"
"2022-04-09";"2.260416501199307"
"2022-04-08";"2.2556510412529986"
"2022-04-07";"2.254856797928613"
"2022-04-06";"2.250091337982304"
"2022-04-05";"2.24612012136038"
"2022-04-04";"2.238177688116531"
"2022-04-03";"2.235794958143377"
"2022-04-02";"2.2342064714946073"
"2022-04-01";"2.2342064714946073"
"2022-03-31";"2.223881308277604"
"2022-03-30";"2.2199100916556795"
"2022-03-29";"2.2056137118167523"
"2022-03-28";"2.199259765221673"
"2022-03-27";"2.196082791924134"
"2022-03-26";"2.194494305275364"
"2022-03-25";"2.1889346020046703"
"2022-03-24";"2.1865518720315156"
"2022-03-23";"2.1801979254364365"
"2022-03-22";"2.1762267088145126"
"2022-03-21";"2.168284275570664"
"2022-03-20";"2.1611360856512003"
