"Datum";"Wien"
"2022-09-19";"2.1647090086337957"
"2022-09-11";"2.164197981955648"
"2022-09-10";"2.164197981955648"
"2022-09-09";"2.164197981955648"
"2022-09-08";"2.1626649019212048"
"2022-09-07";"2.162153875243057"
"2022-09-06";"2.159087715174171"
"2022-09-05";"2.1575546351397277"
"2022-09-04";"2.1555105284271363"
"2022-09-03";"2.1555105284271363"
"2022-09-02";"2.154488475070841"
"2022-09-01";"2.153466421714546"
"2022-08-31";"2.1519333416801025"
"2022-08-30";"2.1504002616456592"
"2022-08-29";"2.1498892349675116"
"2022-08-28";"2.1483561549330683"
"2022-08-27";"2.1483561549330683"
"2022-08-26";"2.1483561549330683"
"2022-08-25";"2.1483561549330683"
"2022-08-24";"2.146823074898625"
"2022-08-23";"2.1452899948641817"
"2022-08-22";"2.1442679415078865"
"2022-08-21";"2.1401797280827046"
"2022-08-20";"2.1401797280827046"
"2022-08-19";"2.1381356213701137"
"2022-08-18";"2.1345584346230795"
"2022-08-17";"2.134047407944932"
"2022-08-16";"2.1320033012323405"
"2022-08-15";"2.129448167841602"
"2022-08-14";"2.1279150878071587"
"2022-08-13";"2.1274040611290115"
"2022-08-12";"2.1268930344508634"
"2022-08-11";"2.1248489277382725"
"2022-08-10";"2.122293794347534"
"2022-08-09";"2.1212717409912387"
"2022-08-08";"2.118205580922352"
"2022-08-07";"2.1151394208534655"
"2022-08-06";"2.1151394208534655"
"2022-08-05";"2.113095314140875"
"2022-08-04";"2.1115622341064317"
"2022-08-03";"2.1100291540719884"
"2022-08-02";"2.106962994003102"
"2022-08-01";"2.1074740206812494"
"2022-07-31";"2.1028747805779204"
"2022-07-30";"2.101341700543477"
"2022-07-29";"2.0992975938308858"
"2022-07-28";"2.097253487118295"
"2022-07-27";"2.093676300371261"
"2022-07-26";"2.093165273693113"
"2022-07-25";"2.0829447401301584"
"2022-07-24";"2.0829447401301584"
"2022-07-23";"2.0829447401301584"
"2022-07-22";"2.0829447401301584"
"2022-07-21";"2.0809006334175675"
"2022-07-20";"2.078345500026829"
"2022-07-19";"2.076301393314238"
"2022-07-18";"2.0737462599234995"
"2022-07-17";"2.0691470198201696"
"2022-07-16";"2.0676139397857267"
"2022-07-15";"2.0676139397857267"
"2022-07-14";"2.066591886429431"
"2022-07-13";"2.0660808597512834"
"2022-07-12";"2.0650588063949877"
"2022-07-11";"2.06454777971684"
"2022-07-10";"2.063525726360545"
"2022-07-09";"2.0614816196479535"
"2022-07-08";"2.0614816196479535"
"2022-07-07";"2.05994853961351"
"2022-07-06";"2.058926486257215"
"2022-07-05";"2.0579044329009197"
"2022-07-04";"2.056882379544624"
"2022-07-03";"2.055349299510181"
"2022-07-02";"2.055349299510181"
"2022-07-01";"2.054838272832033"
"2022-06-30";"2.054838272832033"
"2022-06-29";"2.0543272461538855"
"2022-06-28";"2.052794166119442"
"2022-06-27";"2.0502390327287037"
"2022-06-26";"2.0481949260161123"
"2022-06-25";"2.047172872659817"
"2022-06-24";"2.047172872659817"
"2022-06-23";"2.0466618459816694"
"2022-06-22";"2.0456397926253738"
"2022-06-21";"2.0451287659472266"
"2022-06-20";"2.0446177392690785"
"2022-06-19";"2.0435956859127833"
"2022-06-18";"2.0430846592346352"
"2022-06-17";"2.0430846592346352"
"2022-06-16";"2.04206260587834"
"2022-06-15";"2.04206260587834"
"2022-06-14";"2.04206260587834"
"2022-06-13";"2.041551579200192"
"2022-06-12";"2.0410405525220443"
"2022-06-11";"2.0405295258438967"
"2022-06-10";"2.040018499165749"
"2022-06-09";"2.0395074724876014"
"2022-06-08";"2.0389964458094534"
"2022-06-07";"2.037974392453158"
"2022-06-06";"2.037974392453158"
"2022-06-05";"2.0369523390968625"
"2022-06-04";"2.036441312418715"
"2022-06-03";"2.036441312418715"
"2022-06-02";"2.036441312418715"
"2022-06-01";"2.0359302857405672"
"2022-05-31";"2.0359302857405672"
"2022-05-30";"2.0359302857405672"
"2022-05-29";"2.0359302857405672"
"2022-05-28";"2.035419259062419"
"2022-05-27";"2.035419259062419"
"2022-05-26";"2.0349082323842715"
"2022-05-25";"2.0349082323842715"
"2022-05-24";"2.0328641256716806"
"2022-05-23";"2.030308992280942"
"2022-05-22";"2.028264885568351"
"2022-05-21";"2.028264885568351"
"2022-05-20";"2.028264885568351"
"2022-05-19";"2.0277538588902035"
"2022-05-18";"2.0277538588902035"
"2022-05-17";"2.0272428322120555"
"2022-05-16";"2.0257097521776126"
"2022-05-15";"2.0241766721431693"
"2022-05-14";"2.0241766721431693"
"2022-05-13";"2.0241766721431693"
"2022-05-12";"2.0236656454650213"
"2022-05-11";"2.0236656454650213"
"2022-05-10";"2.0231546187868736"
"2022-05-09";"2.033886179027976"
"2022-05-08";"2.03082001895909"
"2022-05-07";"2.029797965602794"
"2022-05-06";"2.029797965602794"
"2022-05-05";"2.0277538588902035"
"2022-05-04";"2.0272428322120555"
"2022-05-03";"2.0241766721431693"
"2022-05-02";"2.022643592108726"
"2022-05-01";"2.021621538752431"
"2022-04-30";"2.020599485396135"
"2022-04-29";"2.0195774320398394"
"2022-04-28";"2.017533325327249"
"2022-04-27";"2.0165112719709533"
"2022-04-26";"2.0160002452928056"
"2022-04-25";"2.0139561385802143"
"2022-04-24";"2.0124230585457714"
"2022-04-23";"2.009867925155033"
"2022-04-22";"2.0068017650861463"
"2022-04-21";"2.0047576583735554"
"2022-04-20";"2.001180471626521"
"2022-04-19";"1.9991363649139302"
"2022-04-18";"1.72420401207045"
"2022-04-17";"1.722670932036007"
"2022-04-16";"1.7221599053578591"
