"Datum";"Niederösterreich"
"2022-09-19";"2.373309602188244"
"2022-09-11";"2.3844299184500386"
"2022-09-10";"2.3844299184500386"
"2022-09-09";"2.382088799237029"
"2022-09-08";"2.382088799237029"
"2022-09-07";"2.3809182396305246"
"2022-09-06";"2.377991840614263"
"2022-09-05";"2.377991840614263"
"2022-09-04";"2.376821281007758"
"2022-09-03";"2.376821281007758"
"2022-09-02";"2.376821281007758"
"2022-09-01";"2.376821281007758"
"2022-08-31";"2.376821281007758"
"2022-08-30";"2.375650721401253"
"2022-08-29";"2.3727243223849914"
"2022-08-28";"2.371553762778487"
"2022-08-27";"2.370968482975235"
"2022-08-26";"2.370968482975235"
"2022-08-25";"2.370968482975235"
"2022-08-24";"2.36979792336873"
"2022-08-23";"2.3668715243524687"
"2022-08-22";"2.3668715243524687"
"2022-08-21";"2.363945125336207"
"2022-08-20";"2.363945125336207"
"2022-08-19";"2.363945125336207"
"2022-08-18";"2.3633598455329543"
"2022-08-17";"2.359262886910188"
"2022-08-16";"2.3569217676971785"
"2022-08-15";"2.3534100888776646"
"2022-08-14";"2.3534100888776646"
"2022-08-13";"2.3534100888776646"
"2022-08-12";"2.3534100888776646"
"2022-08-11";"2.3528248090744124"
"2022-08-10";"2.351068969664655"
"2022-08-09";"2.351068969664655"
"2022-08-08";"2.3504836898614028"
"2022-08-07";"2.3481425706483936"
"2022-08-06";"2.347557290845141"
"2022-08-05";"2.347557290845141"
"2022-08-04";"2.346972011041889"
"2022-08-03";"2.344045612025627"
"2022-08-02";"2.342875052419122"
"2022-08-01";"2.341119213009365"
"2022-07-31";"2.3381928139931034"
"2022-07-30";"2.3376075341898512"
"2022-07-29";"2.335266414976842"
"2022-07-28";"2.333510575567085"
"2022-07-27";"2.3323400159605803"
"2022-07-26";"2.331754736157328"
"2022-07-25";"2.329998896747571"
"2022-07-24";"2.3259019381248045"
"2022-07-23";"2.3259019381248045"
"2022-07-22";"2.3253166583215523"
"2022-07-21";"2.3241460987150475"
"2022-07-20";"2.3218049795020383"
"2022-07-19";"2.3206344198955335"
"2022-07-18";"2.3206344198955335"
"2022-07-17";"2.3206344198955335"
"2022-07-16";"2.320049140092281"
"2022-07-15";"2.320049140092281"
"2022-07-14";"2.3194638602890287"
"2022-07-13";"2.316537461272767"
"2022-07-12";"2.3159521814695148"
"2022-07-11";"2.315366901666262"
"2022-07-10";"2.3124405026500003"
"2022-07-09";"2.311269943043496"
"2022-07-08";"2.311269943043496"
"2022-07-07";"2.310099383436991"
"2022-07-06";"2.308343544027234"
"2022-07-05";"2.3077582642239816"
"2022-07-04";"2.306587704617477"
"2022-07-03";"2.30483186520772"
"2022-07-02";"2.30483186520772"
"2022-07-01";"2.3042465854044676"
"2022-06-30";"2.3036613056012154"
"2022-06-29";"2.3024907459947106"
"2022-06-28";"2.300734906584954"
"2022-06-27";"2.298979067175197"
"2022-06-26";"2.298979067175197"
"2022-06-25";"2.298979067175197"
"2022-06-24";"2.298979067175197"
"2022-06-23";"2.2983937873719444"
"2022-06-22";"2.2978085075686923"
"2022-06-21";"2.2966379479621875"
"2022-06-20";"2.2966379479621875"
"2022-06-19";"2.2931262691426735"
"2022-06-18";"2.2925409893394213"
"2022-06-17";"2.2925409893394213"
"2022-06-16";"2.2925409893394213"
"2022-06-15";"2.2913704297329165"
"2022-06-14";"2.2913704297329165"
"2022-06-13";"2.289029310519907"
"2022-06-12";"2.2884440307166547"
"2022-06-11";"2.2878587509134025"
"2022-06-10";"2.2878587509134025"
"2022-06-09";"2.2878587509134025"
"2022-06-08";"2.2866881913068977"
"2022-06-07";"2.286102911503645"
"2022-06-06";"2.283761792290636"
"2022-06-05";"2.283761792290636"
"2022-06-04";"2.283761792290636"
"2022-06-03";"2.283761792290636"
"2022-06-02";"2.2831765124873837"
"2022-06-01";"2.282005952880879"
"2022-05-31";"2.2814206730776263"
"2022-05-30";"2.280250113471122"
"2022-05-29";"2.279079553864617"
"2022-05-28";"2.2761531548483553"
"2022-05-27";"2.275567875045103"
"2022-05-26";"2.2749825952418505"
"2022-05-25";"2.2638622789800564"
"2022-05-24";"2.2621064395702994"
"2022-05-23";"2.2609358799637946"
"2022-05-22";"2.2609358799637946"
"2022-05-21";"2.2603506001605425"
"2022-05-20";"2.2603506001605425"
"2022-05-19";"2.2603506001605425"
"2022-05-18";"2.2597653203572903"
"2022-05-17";"2.2591800405540376"
"2022-05-16";"2.2568389213410285"
"2022-05-15";"2.256253641537776"
"2022-05-14";"2.2556683617345237"
"2022-05-13";"2.254497802128019"
"2022-05-12";"2.2539125223247667"
"2022-05-11";"2.253327242521514"
"2022-05-10";"2.249230283898748"
"2022-05-09";"2.2457186050792335"
"2022-05-08";"2.242792206062972"
"2022-05-07";"2.2422069262597195"
"2022-05-06";"2.2416216464564673"
"2022-05-05";"2.2357688484239437"
"2022-05-04";"2.234598288817439"
"2022-05-03";"2.2299160503914206"
"2022-05-02";"2.228745490784916"
"2022-05-01";"2.225233811965402"
"2022-04-30";"2.2158693351133643"
"2022-04-29";"2.2076754178678315"
"2022-04-28";"2.1286626444287653"
"2022-04-27";"2.1257362454125035"
"2022-04-26";"2.1251509656092518"
"2022-04-25";"2.1251509656092518"
"2022-04-24";"2.122809846396242"
"2022-04-23";"2.1152012089539616"
"2022-04-22";"2.103495612888915"
"2022-04-21";"2.10232505328241"
"2022-04-20";"2.100569213872653"
"2022-04-19";"2.0958869754466343"
"2022-04-18";"1.740036855069211"
"2022-04-17";"1.738866295462706"
"2022-04-16";"1.7371104560529491"
