code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
ALTERSGR65-1;0 bis 64 Jahre;;0 to 64 years;;;;;;
ALTERSGR65-2;65 Jahre und älter;;65 years and more;;;;;;
